Name,Surah,Ayat,Verse,Tafseer
Women,4,67,"And then We should bestow upon them from Our presence an immense reward,",And then that is had they confirmed themselves We would have surely given them from Us a great wage that is Paradise.
Women,4,68,And should guide them unto a straight path.,And We would have guided them to a straight path. Some Companions said to the Prophet s ‘How will we be able to see you in Paradise when you will be in the highest stations and we will be lower than you?’ and so the following was revealed
Women,4,69,"Whoso obeyeth Allah and the messenger, they are with those unto whom Allah hath shown favour, of the prophets and the saints and the martyrs and the righteous. The best of company are they!",Whoever obeys God and the Messenger in what he commands they are with those whom God has blessed of the prophets and the truthful that is the most excellent of the Prophet’s Companions because of the fullness of their truthfulness and their affirmation of the truth; and the martyrs those slain in the path of God; and the righteous all those other than the ones mentioned. What fine companions they are! in Paradise since in it one will enjoy seeing them visiting them and being in their presence even though they will be in the highest stations in relation to others.
Women,4,70,"That is bounty from Allah, and Allah sufficeth as Knower.",That namely their being with those mentioned dhālika ‘that’ is the subject the predicate of which is the following is bounty from God with which He has favoured them and not because they have earned it through their obedience. God suffices as Knower of the reward of the Hereafter in other words trust in what He has told you None can tell you like One Who is aware Q. 3514.
Women,4,71,"O ye who believe! Take your precautions, then advance the proven ones, or advance all together. .",O you who believe take your precautions against your enemy that is be wary of him and be vigilant against him; then move forward prepare to fight him in companies in separate groups one raiding party followed by the next; or move forward all together in one assembly.
Women,4,72,"Lo! among you there is he who loitereth; and if disaster overtook you, he would say: Allah hath been gracious unto me since I was not present with them.",Verily there are some of you who tarry who indeed hesitate to join the fighting such as ‘Abd Allāh b. Ubayy the hypocrite and his companions — counting him the one who tarries as one of them the Muslims is from the perspective of outward appearances — the lām in the verb la-yubatti’anna ‘verily … who tarry’ is for oaths; then if an affliction befalls you such as slaughter or defeat he says ‘God has been gracious to me for I was not a witness with them’ present at the fighting lest I should be hurt.
Women,4,73,"And if a bounty from Allah befell you, he would surely cry, as if there had been no love between you and him: Oh, would that I had been with them, then should I have achieved a great success!",But if wa-la-in the lām is for oaths a bounty from God befalls you such as a conquest or booty he will surely cry in regret as if ka’an is softened its subject having been omitted in other words it should be ka’annahu there had never been read lam yakun or lam takun any affection any acquaintance or friendship between you and him this statement refers back to the words in the previous verse ‘God has been gracious to me’ and comes as a parenthesis between the statement ‘that he will cry’ and the very words he cries which are ‘Oh yā is for exclamation would that I had been with them so that I might have won a great triumph!’ that is that I might have taken a good share of the booty.
Women,4,74,"Let those fight in the way of Allah who sell the life of this world for the other. Whoso fighteth in the way of Allah, be he slain or be he victorious, on him We shall bestow a vast reward.",God exalted be He says So let them fight in the way of God to elevate His religion those who sell the life of this world for the Hereafter; and whoever fights in the way of God and is slain dies a martyr or conquers overcomes his enemy We shall give him a great wage a plentiful reward.
Women,4,75,"How should ye not fight for the cause of Allah and of the feeble among men and of the women and the children who are crying: Our Lord! Bring us forth from out this town of which the people are oppressors! Oh, give us from thy presence some protecting friend! Oh, give us from Thy presence some defender!",What is wrong with you that you do not fight this is an interrogative of rebuke in other words there is nothing to prevent you from fighting in the way of God and for the deliverance of the oppressed men women and children whom the disbelievers persecuted and prevented from emigrating. Ibn ‘Abbās may God be pleased with him and his father said ‘My mother and I were among them’; who say supplicating ‘O our Lord bring us forth from this town Mecca whose people are evildoers through unbelief and appoint for us a protector from You to take charge of our affair and appoint for us from You a helper’ to defend us against them. God responded to their supplication and facilitated escape for some of them while others remained behind until Mecca was conquered — in charge of them the Prophet s placed ‘Attāb b. Asīd who proceeded to seek justice for the wronged from those that had wronged them.
Women,4,76,Those who believe do battle for the cause of Allah; and those who disbelieve do battle for the cause of idols. So fight the minions of the devil. Lo! the devil’s strategy is ever weak.,Those who believe fight in the way of God and those who disbelieve fight in the way of a false deity Satan. Fight therefore against the friends of Satan the supporters of his religion and you will defeat them with the strength you draw from God; surely the plotting of Satan against believers is ever feeble of no substance and cannot stand up to God’s plotting against the disbelievers.
Women,4,77,"Hast thou not seen those unto whom it was said: Withhold your hands, establish worship and pay the poordue, but when fighting was prescribed for them behold! a party of them fear mankind even as their fear of Allah or with greater fear, and say: Our Lord! Why hast Thou ordained fighting for us ? If only Thou wouldst give us respite yet a while! Say (unto them, O Muhammad): The comfort of this world is scant; the Hereafter will be better for him who wardeth off (evil); and ye will not be wronged the down upon a date-stone.",Have you not seen those to whom it was said ‘Restrain your hands from fighting the disbelievers when they desired it at Mecca because of the harm the disbelievers had inflicted upon them — and these were a group from among the Companions — and establish the prayer and pay the alms’? Then as soon as fighting was prescribed was made obligatory for them lo a party of them fear people the disbelievers that is they fear punishment at their hands through death as they would fear the punishment of God or with more fear than their fear of Him ashadda ‘more’ is in the accusative because it is a circumstantial qualifier; the response to the lammā ‘as soon as’ is indicated by idhā ‘lo’ and what follows in other words they are taken aback by fear and they said frightened of death ‘Our Lord why have You prescribed fighting for us? Why not lawlā is to be understood as hallā defer us to a near term?’ Say to them ‘The enjoyment of this world that which is enjoyed therein or enjoying it the world is trifling it will end up by perishing; and the Hereafter Paradise is better for him who fears God’s punishment by avoiding disobedience to Him; and you shall not be wronged lā tuzlamūna may also be read lā yuzlamūna ‘they shall not be wronged’ you shall not be diminished of your deeds a single date-thread as much as the peel on a date-stone so struggle in the way of God.
Women,4,78,"Wheresoever ye may be, death will overtake you, even though ye were in lofty towers. Yet if a happy thing befalleth them they say: This is from Allah; and if an evil thing befalleth them they say: This is of thy doing (O Muhammad). Say (unto them): All is from Allah. What is amiss with these people that they come not nigh to understand a happening ?",Wherever you may be death will overtake you though you should be in raised-up lofty towers’ forts so do not shrink from fighting for fear of death. And if a good thing such as fertility and abundance befalls them the Jews they say ‘This is from God’; but if an evil thing such as drought or misfortune befalls them as it did with them when the Prophet s arrived in Medina they say ‘This is from you’ O Muhammad (s) that is from the bad luck you bring. Say to them ‘Everything good and evil is from God.’ What is wrong with this people that they do not understand that is they do not come close to comprehending any words delivered to them the mā ‘what’ of mā li-hā’ūlā’ ‘what is wrong with these’ is an interrogative intended to provoke amazement at their extreme ignorance; to state that one cannot even come close to doing something is rhetorically more intense than saying that he cannot do it.
Women,4,79,"Whatever of good befalleth thee (O man) it is from Allah, and whatever of ill befalleth thee it is from thyself. We have sent thee (Muhammad) as a messenger unto mankind and Allah is sufficient as Witness.",Whatever good hasana means khayr befalls you O man it is from God it has come to you from His bounty; whatever evil misfortune befalls you is from yourself it has come to you as a necessary consequence of sins you have committed. We have sent you O Muhammad (s) to people as a messenger rasūlan is a circumstantial qualifier for emphasis and God suffices as Witness of your Mission.
Women,4,80,"Whoso obeyeth the messenger hath obeyed Allah, and whoso turneth away: We have not sent thee as a warder over them.",Whoever obeys the Messenger verily obeys God; and whoever turns his back whoever avoids obedience to you do not be concerned with them We have not sent you as a watcher over them to keep watch over their deeds but as a warner. Their affair is Ours to deal with and We will requite them. This statement was before the command to fight them was revealed.
Women,4,81,And they say: (It is) obedience; but when they have gone forth from thee a party of them spend the night in planning other than what thou sayest. Allah recordeth what they plan by night. So oppose them and put thy trust in Allah. Allah is sufficient as Trustee.,They say that is the hypocrites say when they come to you ‘Our affair is all about Obedience to you’; but when they sally forth when they depart from you a party of them harbour the final tā’ of the feminine-ending in bayyatat ‘harbour’ can either be elided with the following tā’ of tā’ifa ‘a party’ or simply omitted they entertain secretly feelings other than what they say to you in your presence in the way of their obedience in other words they hide disobedience to you. God writes down He commands that it be written what they harbour in their scrolls of deeds so that they will be requited for it. So turn away from them in forgiveness rely on God put your trust in Him for He will suffice you; and God suffices as a Guardian to Whom matters are entrusted.
Women,4,82,Will they not then ponder on the Qur’an ? If it had been from other than Allah they would have found therein much incongruity.,What do they not ponder do they not contemplate the Qur’ān? and the marvellous truths contained in it. If it had been from other than God surely they would have found therein much inconsistency much contradiction in meaning and irregularity in arrangement.
Women,4,83,"And if any tidings, whether of safety or fear, come unto them, they noise it abroad, whereas if they had referred it to the messenger and to such of them as are in authority, those among them who are able to think out the matter would have known it. If it had not been for the grace of Allah upon you and His mercy ye would have followed Satan, save a few (of you).",And when there comes to them an issue news concerning the raiding parties sent by the Prophet s and what has happened to them be it of security through victory or of fear through defeat they broadcast it they make it widely-known this was revealed regarding a group from among the hypocrites or from among the feeble believers who used to do this and so the hearts of the believers would lose courage and the Prophet s would become distressed. If they had referred it the news to the Messenger and to those in authority among them that is the judicious elders among the Companions in other words if they had kept quiet about it until they were fully informed; those among them who are able to think it out those who follow it up and seek knowledge of it the ones who broadcast it would have known it and whether it is a matter that ought be broadcast or not from them from the Prophet s and those of authority. And but for the bounty of God to you through Islam and His mercy to you through the Qur’ān you would surely have followed Satan in the abominations to which he commands you except a few of you.
Women,4,84,So fight (O Muhammad) in the way of Allah Thou art not taxed (with the responsibility for anyone) except thyself - and urge on the believers. Peradventure Allah will restrain the might of those who disbelieve. Allah is stronger in might and stronger in inflicting punishment.,So fight O Muhammad (s) in the way of God; you are charged only with yourself so do not be concerned with their failing to join you the meaning being fight even if you are on your own for you have been promised victory. And urge on the believers incite them to fight and make them desire it; maybe God will restrain the might the war of the disbelievers; God is mightier than them and more severe in castigation in punishment than them. And so the Messenger of God s said ‘By Him in Whose Hand is my soul I shall sally forth to fight even if I go alone’. Thereupon he sallied forth with seventy cavalrymen to the first battle at Badr where God restrained the might of the disbelievers by casting terror into their hearts and preventing Abū Sufyān from sallying forth as has already been mentioned in sūrat Āl ‘Imrān Q. 3151.
Women,4,85,"Whoso interveneth in a good cause will have the reward thereof, and whoso interveneth in an evil cause will bear the consequence thereof. Allah overseeth all things.",Whoever intercedes between people with a good intercession one in accordance with the Law shall receive a share of the reward for it because of it; and whoever intercedes with an evil intercession one in contravention of it the Law shall receive the like the share of the sin from it because of it. God conserves He has power over all things and so requites every person according to his deeds.
Women,4,86,"When ye are greeted with a greeting, greet ye with a better than it or return it. Lo! Allah taketh count of all things.",And when you are greeted with a greeting as when it is said to you ‘Peace be upon you’ greet the one that greeted you with better than it by responding to him with ‘Peace be upon you and God’s mercy and blessings’ or return it by saying back to him what he said; in other words it is a duty to greet in one of these two ways the former being the preferred one. Surely God keeps count of He holds you accountable for all things and requites accordingly including things such as returning a greeting. The Sunna specifies that one should not return the greeting of an disbeliever an innovator a wicked person and of the one that greets a person who is in the act of relieving himself or one in the bath or one eating — indeed it is actually disapproved with the exception of the last. To the disbeliever who says ‘peace be upon you’ one should simply say ‘And upon you’.
Women,4,87,Allah! There is no God save Him. He gathereth you all unto a Day of Resurrection whereof there is no doubt. Who is more true in statement than Allah ?,God — there is no god except Him and by God He will surely gather you from your graves to on the Day of Resurrection whereof there is no doubt no uncertainty. And who is truer in statement in speech than God? that is no one is.
Women,4,88,"What aileth you that ye are become two parties regarding the hypocrites, when Allah cast them back (to disbelief) because of what they earned ? Seek ye to guide him whom Allah hath sent astray ? He whom Allah sendeth astray, for him thou (O MUhammad) canst not find a road.",When a group retreated from Uhud people were at variance over their status. Some said ‘Let us slay them’ while others said ‘No!’ So the following was revealed What is wrong with you what is the matter with you that you have become two parties two groups regarding the hypocrites when God has overthrown them He has turned them back to disbelief for what they earned? in the way of disbelief and acts of disobedience. What do you desire to guide him whom God has sent astray? that is to count them among the guided the interrogative in both places is for disapproval. And he whom God sends astray you will never find for him a way a path to guidance.
Women,4,89,"They long that ye should disbelieve even as they disbelieve, that ye may be upon a level (with them). So choose not friends from them till they forsake their homes in the way of Allah; if they turn back (to enmity) then take them and kill them wherever ye find them, and choose no friend nor helper from among them,",They long they wish that you should disbelieve as they disbelieve so then you and they would be equal in unbelief; therefore do not take friends from among them associating with them even if they should outwardly manifest belief until they emigrate in the way of God a proper emigration that would confirm their belief; then if they turn away and remain upon their ways take them as captives and slay them wherever you find them; and do not take any of them as a patron to associate with or as a helper to assist you against your enemy.
Women,4,90,"Except those who seek refuge with a people between whom and you there is a covenant, or (those who) come unto you because their hearts forbid them to make war on you or make war on their own folk. Had Allah willed He could have given them power over you so that assuredly they would have fought you. So, if they hold aloof from you and wage not war against you and offer you peace, Allah alloweth you no way against them.",Except those who attach themselves to who seek refuge with a people between whom and you there is a covenant a pledge of security for them and for whoever attaches himself to them in the manner of the Prophet’s s covenant with Hilāl b. ‘Uwaymir al-Aslamī; or those who come to you with their breasts constricted dejected about the prospect of fighting you being on the side of their people or fighting their people siding with you in other words those who come to you refraining from fighting either you or them then do not interfere with them neither taking them as captives nor slaying them this statement and what follows was abrogated by the ‘sword’ verse. Had God willed to give them sway over you He would have given them sway over you by strengthening their hearts so that assuredly they would have fought you but God did not will it and so He cast terror into their hearts. And so if they stay away from you and do not fight you and offer you peace reconciliation that is if they submit then God does not allow you any way against them He does not allow you a means to take them captive or to slay them.
Women,4,91,"Ye will find others who desire that they should have security from you, and security from their own folk. So often as they are returned to hostility they are plunged therein. If they keep not aloof from you nor offer you peace nor hold their hands, then take them and kill them wherever ye find them. Against such We have given you clear warrant.",You will find others desiring to have security from you by manifesting belief before you and security from their own people through unbelief when they return to them and these were the tribes of Asad and Ghatafān; yet whenever they are returned to sedition whenever they are summoned to idolatry they are overwhelmed by it falling into it in the worst of ways. So if they do not stay away from you by refraining from fighting you and do not offer you peace and do not restrain their hands from you then take them as captives and slay them wherever you come upon them wherever you find them; against them We have given you clear warrant a clear and manifest proof for you to slay them and capture them on account of their treachery.
Women,4,92,"It is not for a believer to kill a believer unless (it be) by mistake. He who hath killed a believer by mistake must set free a believing slave, and pay the blood-money to the family of the slain, unless they remit it as a charity. If he (the victim) be of a people hostile unto you, and he is a believer, then (the penance is) to set free a believing slave. And if he cometh of a folk between whom and you there is a covenant, then the blood-money must be paid unto his folk and (also) a believing slave must be set free. And whoso hath not the wherewithal must fast two consecutive months. A penance from Allah. Allah is Knower, Wise.",It is not for a believer to slay a believer in other words no such slaying should result at his hands except by mistake killing him by mistake unintentionally. He who slays a believer by mistake when he meant to strike some other thing as in the case of hunting or shooting at trees but then happens to strike him with what in most cases would not kill then let him set free let him emancipate a believing slave raqaba denotes nasama ‘a person’ an obligation on him and blood-money is to be submitted to be paid to his family that is the slain person’s inheritors unless they remit it as a charity to him by waiving their claim to it. In the Sunna this blood-money is explained as being equivalent to one hundred camels twenty pregnant twenty female sucklings twenty male sucklings twenty mature ones and twenty young ones not more than five years old; and the Sunna stipulates that it is incumbent upon the killer’s clan namely his paternal relations and not other relatives. They share this burden of the blood-money over three years; the rich among them pays half a dinar while the one of moderate means pays a quarter of a dinar each year; if they still cannot meet this then it can be taken from the treasury and if this is not possible then from the killer himself. If he the slain belongs to a people at enmity at war with you and is a believer then the setting free of a believing slave is incumbent upon the slayer as a redemption but no bloodmoney is to be paid to his family since they are at war with you. If he the slain belongs to a people between whom and you there is a covenant a treaty as is the case with the Protected People ahl al-dhimma then the blood-money for him must be paid to his family and it constitutes a third of the blood-money for a believer if the slain be a Jew or a Christian and two thirds of a tenth of it if he be a Magian; and the setting free of a believing slave is incumbent upon the slayer. But if he has not the wherewithal for setting free a slave failing to find one or the means to obtain one then the fasting of two successive months is incumbent upon him as a redemption here God does not mention the transition to an alternative to fasting which is giving food to the needy as in the case of repudiating one’s wife by zihār something which al-Shāfi‘ī advocates in the more correct of two opinions of his; a relenting from God tawbatan ‘relenting’ is the verbal noun and is in the accusative because of the implied verb.
Women,4,93,"Whoso slayeth a believer of set purpose, his reward is hell for ever. Allah is wroth against him and He hath cursed him and prepared for him an awful doom.",And whoever slays a believer deliberately intending to kill him with something that is lethal aware of the fact that he the slain is a believer his requital is Hell abiding therein and God is wroth with him and has cursed him He has removed him from His mercy and has prepared for him a mighty chastisement in the Fire this may be explained as referring to the person that deems such killing licit or as being his requital if he were to be requited but it would not be anything new if this threat of punishment were to be forgone because of what He says Other than that that is idolatry He forgives whomever He will Q. 448. It is reported from Ibn ‘Abbās that it the verse should be understood as it stands abrogating other verses of ‘forgiveness’. The verse in sūrat al-Baqara Q. 2178 clearly indicates that the one who kills deliberately should be killed in return or if he is pardoned then he has to pay the blood-money the value of which has already been mentioned. It is made clear in the Sunna that between the intentional and the unintentional there is a type of killing that is identified as being with quasi-deliberate intent shibh al-‘amd where the killer has slain with what in most cases is not a lethal implement. In such a case there is no right to retaliation and blood-money is paid instead so that it this type of killing is described as intentional but considered unintentional in that there applies the fixing of the period for payment and the sharing of the burden by the killer’s clan; in this case and that of intentional killing redemption is more urgent than in unintentional killing.
Women,4,94,"O ye who believe! When ye go forth (to fight) in the way of Allah, be careful to discriminate, and say not unto one who offereth you peace: ""Thou art not a believer,"" seeking the chance profits of this life (so that ye may despoil him). With Allah are plenteous spoils. Even thus (as he now is) were ye before; but Allah hath since then been gracious unto you. Therefore take care to discriminate. Allah is ever Informed of what ye do.",The following was revealed when a group from among the Companions passed by a man from the Banū Sulaym driving his flock of sheep and he offered them a greeting of peace. But they said ‘He only greeted us dissimulating out of fear’. So they killed him and took away his flock O you who believe when you are going forth travelling in order to struggle in the way of God be discriminating fa-tabayyanū; a variant reading has fa-tathabbatū ‘ascertain’ here and further below; and do not say to him who offers you peace read al-salām or al-salam that is the greeting or offers you submission declaring the profession of faith shahāda which is an indication of being a Muslim ‘You are not a believer you are only saying this to dissimulate for fear of your life and property’ so that you then end up killing him desiring seeking by this the transient goods of the life of this world that is its enjoyment in the way of spoils. With God are plenteous spoils rendering you free of the need to kill such a person for his property. So you were formerly when your lives and property were protected simply upon your professing the faith; but God has been gracious to you making you known for your faith and uprightness. So be discriminating lest you kill a believer and treat those entering the religion as you were treated formerly. Surely God is ever Aware of what you do and will requite you for it.
Women,4,95,"Those of the believers who sit still, other than those who have a (disabling) hurt, are not on an equality with those who strive in the way of Allah with their wealth and lives. Allah hath conferred on those who strive with their wealth and lives a rank above the sedentary. Unto each Allah hath promised good, but He hath bestowed on those who strive a great reward above the sedentary;",The believers who sit at home away from the struggle other than those who have an injury such as a chronic illness or blindness or the like read in the nominative ghayru ūlī l-darar ‘other than those who have an injury’ as an adjectival clause; or in the accusative ghayra ūlī l-darar as an exceptive clause are not the equals of those who struggle in the way of God with their possessions and their lives. God has preferred those who struggle with their possessions and their lives over the ones who sit at home on account of some injury by a degree by a degree of merit since both have the same intention but the extra degree is given to those who have carried out the struggle; yet to each of the two groups God has promised the goodly reward Paradise and God has preferred those who struggle over the ones who sit at home without any injury with a great reward ajran ‘azīman is substituted by the following darajātin minhu
Women,4,96,"Degrees of rank from Him, and forgiveness and mercy. Allah is ever Forgiving, Merciful.",degrees that is stations one higher than the other in honour from Him and forgiveness and mercy maghfiratan and rahmatan are in the accusative because they constitute an object of the implied verb faddala ‘He has preferred’. Surely God is ever Forgiving to His friends Merciful to those that obey Him.
Women,4,97,"Lo! as for those whom the angels take (in death) while they wrong themselves, (the angels) will ask: In what were ye engaged ? They will say: We were oppressed in the land. (The angels) will say: Was not Allah’s earth spacious that ye could have migrated therein ? As for such, their habitation will be hell, an evil journey’s end;",The following was revealed regarding a group of people who submitted to Islam but did not emigrate and were then slain in the battle of Badr alongside the disbelievers And those whom the angels take in death while they are wronging their souls having remained among the disbelievers and neglected to emigrate the angels will say to them in rebuke ‘What was your predicament?’ in other words ‘in what circumstances were you with regard to your religion’. They will say giving excuses ‘We were oppressed unable to establish religion in the land’ the land of Mecca. The angels will say to them in rebuke ‘But was not God’s earth spacious that you might have emigrated therein?’ from the land of unbelief to another land as others did? God exalted be He says as for such their abode shall be Hell — an evil journey’s end it is!
Women,4,98,"Except the feeble among men, and the women, and the children, who are unable to devise a plan and are not shown a way.",Except the oppressed among the men women and children who are unable to devise a plan having no strength to emigrate and no substance and are not guided to a way a means of going to the land of emigration.
Women,4,99,"As for such, it may be that Allah will pardon them. Allah is ever Clement, Forgiving.",As for such perhaps God will pardon them for God is ever Pardoning Forgiving.
Women,4,100,"Whoso migrateth for the cause of Allah will find much refuge and abundance in the earth, and whoso forsaketh his home, a fugitive unto Allah and His messenger, and death overtaketh him, his reward is then incumbent on Allah. Allah is ever Forgiving, Merciful.",Whoever emigrates in the way of God will find in the earth many refuges places of emigration and abundance of provision; whoever goes forth from his house as an emigrant to God and His Messenger and then death overtakes him along the way as occurred with Junda‘ or Jundab b. Damra al-Laythī his wage is then incumbent upon fixed with God; surely God is ever Forgiving Merciful.
Women,4,101,"And when ye go forth in the land, it is no sin for you to curtail (your) worship if ye fear that those who disbelieve may attack you. In truth the disbelievers are an open enemy to you.",And when you are going forth travelling in the land you would not be at fault if you shorten the prayer by making it two genuflexions instead of four if you fear that you may be afflicted by those who do not believe that is if you fear that you may be harmed by them this fear of affliction at the hands of the disbelievers is just intended as an explication of the reality of the situation at that time and the point no longer applies. In the Sunna it is pointed out that ‘travel’ safar means long-distance travel which is approximately 50 miles. God’s words ‘you would not be at fault’ should be understood as denoting a dispensation and not a requirement and this is the opinion of al-Shāfi‘ī; the disbelievers are a manifest foe to you their enmity being evident.
Women,4,102,"And when thou (O Muhammad) art among them and arrangest (their) worship for them, let only a party of them stand with thee (to worship) and let them take their arms. Then when they have performed their prostrations let them fall to the rear and let another party come that hath not worshipped and let them worship with thee, and let them take their precaution and their arms. Those who disbelieve long for you to neglect your arms and your baggage that they may attack you once for all. It is no sin for you to lay aside your arms, if rain impedeth you or ye are sick. But take your precaution. Lo! Allah prepareth for the disbelievers shameful punishment.",When you O Muhammad (s) are present among them while you all fear an enemy and you stand to lead them in prayer this type of address is customary in the Qur’ān let a party of them stand with you while another party stand back and let them the party standing with you take their weapons with them. Then when they have performed their prostrations that is when they have prayed let them the other party be behind you on guard until you complete the prayers; thereupon let this party go on guard and let another party who have not prayed come and pray with you taking their precautions and their weapons with them until you have completed the prayers. The Prophet s did this once at Batn Nakhla as reported by the two Shaykhs Bukhārī and Muslim. The disbelievers wish when you have stood up to pray that you should be heedless of your weapons and your baggage that they may descend upon you all at once by making an assault against you and capturing you and herein is the reasoning behind keeping weapons on oneself. You are not at fault if rain bothers you or if you are sick to lay aside your weapons and not carry them this implies that when there is no such excuse it is compulsory to carry them and this is one of two opinions held by al-Shāfi‘ī on this matter; the other opinion is that this precaution constitutes a sunna and this is the more preferable opinion. But take your precautions against the enemy and be on your guard as best you can; God has prepared for the disbelievers a humiliating chastisement.
Women,4,103,"When ye have performed the act of worship, remember Allah, standing, sitting and reclining. And when ye are in safety, observe proper worship. Worship at fixed times hath been enjoined on the believers.",When you have performed the prayer when you have completed it remember God by repeating ‘There is no god but God’ tahlīl and ‘Glory be to God’ tasbīh standing and sitting and on your sides lying down in other words in all states. Then when you are reassured when you are secure observe the prayer perform it with its proper due surely the prayer is for believers a prescription enjoined that is an obligation at specific times that is its appointed times are set and so it should not be postponed from these times.
Women,4,104,"Relent not in pursuit of the enemy. If ye are suffering, lo! they suffer even as ye suffer and ye hope from Allah that for which they cannot hope. Allah is ever Knower, Wise.",After they returned from Uhud the Prophet s dispatched a group to seek out Abū Sufyān and his companions but they complained about their wounds and the following was revealed Be not faint be not weak in seeking in pursuing the enemy the disbelievers in order to fight them; if you are suffering if you have pains from a wound they are also suffering as you are suffering that is just like you yet they do not shrink from fighting you; and you hope from God in the way of victory and the reward for it that for which they cannot hope and since you have this advantage over them you should be more willing for it than them. God is ever Knower of all things Wise in His actions.
Women,4,105,"Lo! We reveal unto thee the Scripture with the truth, that thou mayst judge between mankind by that which Allah showeth thee. And be not thou a pleader for the treacherous;",Tu‘ma b. Ubayriq stole a coat of mail and hid it with a Jew. When it was discovered with the latter Tu‘ma accused him of having stolen it and swore by God that he Tu‘ma had not stolen it and his clan asked the Prophet s to advocate on his behalf and absolve him whereupon the following was revealed Surely We have revealed to you the Book the Qur’ān with the truth bi’l-haqq is semantically connected to anzalnā ‘We have revealed’ so that you may judge between people by that which God has shown you what God has taught you. And do not be a disputant for traitors like Tu‘ma disputing on their behalf.
Women,4,106,"And seek forgiveness of Allah. Lo! Allah is ever Forgiving, Merciful.",And pray for forgiveness from God for that which you considered doing; surely God is ever Forgiving Merciful.
Women,4,107,And plead not on behalf of (people) who deceive themselves. Lo! Allah loveth not one who is treacherous and sinful.,And do not dispute on behalf of those who betray themselves through acts of disobedience for the evil consequences of their betrayal shall fall on them; surely God loves not one who is treacherous frequently betraying and sinful that is to say He will punish him.
Women,4,108,They seek to hide from men and seek not to hide from Allah. He is with them when by night they hold discourse displeasing unto Him. Allah ever surroundeth what they do.,They the likes of Tu‘ma and his clan hide themselves in shame from people but they do not hide themselves from God; for He is with them in His knowledge of them while they plot they conspire at night with discourse displeasing to Him in their resolve to swear by God and deny the theft and accuse the Jew of it. God is ever Encompassing in knowledge of what they do.
Women,4,109,"Ho! ye are they who pleaded for them in the life of the world. But who will plead with Allah for them on the Day of Resurrection, or who will then be their defender ?",Ah! There you are addressing Tu‘ma’s clan you have contested you have disputed on their behalf that is to say on behalf of Tu‘ma and his men a variant reading has ‘anhu ‘on his behalf’ in the life of this world; but who will contest against God on their behalf on the Day of Resurrection if He were to punish them or who will be a guardian for them and take charge of their affair or defend them? In other words no one will do such a thing.
Women,4,110,"Yet whoso doeth evil or wrongeth his own soul, then seeketh pardon of Allah, will find Allah Forgiving, Merciful.",Whoever does evil commits a sin by which another is harmed as when Tu‘ma falsely accused the Jew or wrongs himself committing a sin the consequences of which are limited to him and then prays for God’s forgiveness for it that is to say and then he repents he shall find God is Forgiving Merciful to him.
Women,4,111,"Whoso committeth sin committeth it only against himself. Allah is ever Knower, Wise.",And whoever commits a sin commits it against himself only since the evil consequences fall on him harming no one else; and God is ever Knower Wise in His actions.
Women,4,112,"And whoso committeth a delinquency or crime, then throweth (the blame) thereof upon the innocent, hath burdened himself with falsehood and a flagrant crime.",And whoever commits a mistake a minor sin or a sin a grave sin and then casts it upon the innocent one who is innocent of it he has thereby burdened himself with calumny by his false accusation and a manifest sin one which is evident on account of what he has committed.
Women,4,113,"But for the grace of Allah upon thee (Muhammad), and His mercy, a party of them had resolved to mislead thee, but they will mislead only themselves and they will hurt thee not at all. Allah revealeth unto thee the Scripture and wisdom, and teacheth thee that which thou knewest not. The grace of Allah toward thee hath been infinite.",Were it not for God’s bounty to you O Muhammad (s) and His mercy by way of protecting you a party of them of Tu‘ma’s clan would have intended would have conspired to lead you astray from judging with truth by deceiving you; but they lead only themselves astray; they will not hurt you at all since the evil consequence of their leading you astray would have fallen on them. God has revealed to you the Book the Qur’ān and wisdom the rulings contained therein and He has taught you what you did not know of rulings and the Unseen; and God’s bounty to you in this and other respects is ever great.
Women,4,114,"There is no good in much of their secret conferences save (in) him who enjoineth almsgiving and kindness and peace-making among the people. Whoso doeth that, seeking the good pleasure of Allah, We shall bestow on him a vast reward.",There is no good in much of their that is of people’s secret conversations that is what they converse and talk secretly about except for the secret talk of he who enjoins to voluntary almsgiving or kindness a righteous deed or setting things right between people. And whoever does that the aforementioned desiring seeking God’s good pleasure and nothing else of the affairs of this world We shall surely give him read nu’tīhi or yu’tīhi ‘He will give him’ that is ‘God will give him’ a great wage.
Women,4,115,"And whoso opposeth the messenger after the guidance (of Allah) hath been manifested unto him, and followeth other than the believer’s way, We appoint for him that unto which he himself hath turned, and expose him unto hell - a hapless journey’s end!",But whoever makes a breach with whoever opposes the Messenger in the truth that he brings after guidance has become clear to him after the truth has become manifest to him through miracles and follows a path other than the way of the believers that is to say other than the path they follow in religion by disbelieving We shall turn him over to what he has turned to We shall make him a leader of the misguidance which he has followed by leaving this as it is between them in this world and We shall expose him We shall admit him in the Hereafter in Hell where he will burn — an evil journey’s end an evil return it is.
Women,4,116,Lo! Allah pardoneth not that partners should be ascribed unto Him. He pardoneth all save that to whom He will. Whoso ascribeth partners unto Allah hath wandered far astray.,God does not forgive that anything should be associated with Him; He forgives all except that to whomever He will. Whoever associates anything with God verily he has strayed far away from the truth.
