surah_no,surah_name_en,surah_name_ar,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words
6,The Cattle,الأنعام,Al-An'am,71,860,قُلْ أَنَدْعُوا۟ مِن دُونِ ٱللَّهِ مَا لَا يَنفَعُنَا وَلَا يَضُرُّنَا وَنُرَدُّ عَلَىٰٓ أَعْقَابِنَا بَعْدَ إِذْ هَدَىٰنَا ٱللَّهُ كَٱلَّذِى ٱسْتَهْوَتْهُ ٱلشَّيَٰطِينُ فِى ٱلْأَرْضِ حَيْرَانَ لَهُۥٓ أَصْحَٰبٌۭ يَدْعُونَهُۥٓ إِلَى ٱلْهُدَى ٱئْتِنَا ۗ قُلْ إِنَّ هُدَى ٱللَّهِ هُوَ ٱلْهُدَىٰ ۖ وَأُمِرْنَا لِنُسْلِمَ لِرَبِّ ٱلْعَٰلَمِينَ,"Ask ˹them, O  Prophet˺, “Should we invoke, other than Allah, those ˹idols˺ which cannot benefit or harm us, and turn back to disbelief after Allah has guided us? ˹If we do so, we will be˺ like those disoriented by devils in the wilderness, while their companions call them to guidance, ˹saying˺, ‘Come to us!’ Say, ˹O Prophet,˺ “Allah’s guidance is the ˹only˺ true guidance. And we are commanded to submit to the Lord of all worlds,",110,7,2,54,165,6236,Meccan,FALSE,NA,41,"[قُلْ,أَنَدْعُوا۟,مِن,دُونِ,ٱللَّهِ,مَا,لَا,يَنفَعُنَا,وَلَا,يَضُرُّنَا,وَنُرَدُّ,عَلَىٰٓ,أَعْقَابِنَا,بَعْدَ,إِذْ,هَدَىٰنَا,ٱللَّهُ,كَٱلَّذِى,ٱسْتَهْوَتْهُ,ٱلشَّيَٰطِينُ,فِى,ٱلْأَرْضِ,حَيْرَانَ,لَهُۥٓ,أَصْحَٰبٌۭ,يَدْعُونَهُۥٓ,إِلَى,ٱلْهُدَى,ٱئْتِنَا,ۗ,قُلْ,إِنَّ,هُدَى,ٱللَّهِ,هُوَ,ٱلْهُدَىٰ,ۖ,وَأُمِرْنَا,لِنُسْلِمَ,لِرَبِّ,ٱلْعَٰلَمِينَ]"
6,The Cattle,الأنعام,Al-An'am,72,861,وَأَنْ أَقِيمُوا۟ ٱلصَّلَوٰةَ وَٱتَّقُوهُ ۚ وَهُوَ ٱلَّذِىٓ إِلَيْهِ تُحْشَرُونَ,"establish prayer, and be mindful of Him. To Him you will all be gathered together.",110,7,2,54,165,6236,Meccan,FALSE,NA,9,"[وَأَنْ,أَقِيمُوا۟,ٱلصَّلَوٰةَ,وَٱتَّقُوهُ,ۚ,وَهُوَ,ٱلَّذِىٓ,إِلَيْهِ,تُحْشَرُونَ]"
6,The Cattle,الأنعام,Al-An'am,73,862,وَهُوَ ٱلَّذِى خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ بِٱلْحَقِّ ۖ وَيَوْمَ يَقُولُ كُن فَيَكُونُ ۚ قَوْلُهُ ٱلْحَقُّ ۚ وَلَهُ ٱلْمُلْكُ يَوْمَ يُنفَخُ فِى ٱلصُّورِ ۚ عَٰلِمُ ٱلْغَيْبِ وَٱلشَّهَٰدَةِ ۚ وَهُوَ ٱلْحَكِيمُ ٱلْخَبِيرُ,"He is the One Who created the heavens and the earth in truth. On the Day ˹of Judgment˺ He will say, ‘Be!’ And there will be! His command is truth. All authority is His ˹alone˺ He is the Knower of all—seen or unseen. And He is the All-Wise, All-Aware.”",110,7,2,54,165,6236,Meccan,FALSE,NA,29,"[وَهُوَ,ٱلَّذِى,خَلَقَ,ٱلسَّمَٰوَٰتِ,وَٱلْأَرْضَ,بِٱلْحَقِّ,ۖ,وَيَوْمَ,يَقُولُ,كُن,فَيَكُونُ,ۚ,قَوْلُهُ,ٱلْحَقُّ,ۚ,وَلَهُ,ٱلْمُلْكُ,يَوْمَ,يُنفَخُ,فِى,ٱلصُّورِ,ۚ,عَٰلِمُ,ٱلْغَيْبِ,وَٱلشَّهَٰدَةِ,ۚ,وَهُوَ,ٱلْحَكِيمُ,ٱلْخَبِيرُ]"
6,The Cattle,الأنعام,Al-An'am,74,863,۞ وَإِذْ قَالَ إِبْرَٰهِيمُ لِأَبِيهِ ءَازَرَ أَتَتَّخِذُ أَصْنَامًا ءَالِهَةً ۖ إِنِّىٓ أَرَىٰكَ وَقَوْمَكَ فِى ضَلَٰلٍۢ مُّبِينٍۢ,"And ˹remember˺ when Abraham said to his father, Ȃzar, “Do you take idols as gods? It is clear to me that you and your people are entirely misguided.”",110,7,2,55,165,6236,Meccan,FALSE,NA,16,"[۞,وَإِذْ,قَالَ,إِبْرَٰهِيمُ,لِأَبِيهِ,ءَازَرَ,أَتَتَّخِذُ,أَصْنَامًا,ءَالِهَةً,ۖ,إِنِّىٓ,أَرَىٰكَ,وَقَوْمَكَ,فِى,ضَلَٰلٍۢ,مُّبِينٍۢ]"
6,The Cattle,الأنعام,Al-An'am,75,864,وَكَذَٰلِكَ نُرِىٓ إِبْرَٰهِيمَ مَلَكُوتَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَلِيَكُونَ مِنَ ٱلْمُوقِنِينَ,"We also showed Abraham the wonders of the heavens and the earth, so he would be sure in faith.",110,7,2,55,165,6236,Meccan,FALSE,NA,9,"[وَكَذَٰلِكَ,نُرِىٓ,إِبْرَٰهِيمَ,مَلَكُوتَ,ٱلسَّمَٰوَٰتِ,وَٱلْأَرْضِ,وَلِيَكُونَ,مِنَ,ٱلْمُوقِنِينَ]"
6,The Cattle,الأنعام,Al-An'am,76,865,فَلَمَّا جَنَّ عَلَيْهِ ٱلَّيْلُ رَءَا كَوْكَبًۭا ۖ قَالَ هَٰذَا رَبِّى ۖ فَلَمَّآ أَفَلَ قَالَ لَآ أُحِبُّ ٱلْءَافِلِينَ,"When the night grew dark upon him, he saw a star and said, “This is my Lord!” But when it set, he said, “I do not love things that set.”",110,7,2,55,165,6236,Meccan,FALSE,NA,17,"[فَلَمَّا,جَنَّ,عَلَيْهِ,ٱلَّيْلُ,رَءَا,كَوْكَبًۭا,ۖ,قَالَ,هَٰذَا,رَبِّى,ۖ,فَلَمَّآ,أَفَلَ,قَالَ,لَآ,أُحِبُّ,ٱلْءَافِلِينَ]"
6,The Cattle,الأنعام,Al-An'am,77,866,فَلَمَّا رَءَا ٱلْقَمَرَ بَازِغًۭا قَالَ هَٰذَا رَبِّى ۖ فَلَمَّآ أَفَلَ قَالَ لَئِن لَّمْ يَهْدِنِى رَبِّى لَأَكُونَنَّ مِنَ ٱلْقَوْمِ ٱلضَّآلِّينَ,"Then when he saw the moon rising, he said, “This one is my Lord!” But when it disappeared, he said, “If my Lord does not guide me, I will certainly be one of the misguided people.”",110,7,2,55,165,6236,Meccan,FALSE,NA,19,"[فَلَمَّا,رَءَا,ٱلْقَمَرَ,بَازِغًۭا,قَالَ,هَٰذَا,رَبِّى,ۖ,فَلَمَّآ,أَفَلَ,قَالَ,لَئِن,لَّمْ,يَهْدِنِى,رَبِّى,لَأَكُونَنَّ,مِنَ,ٱلْقَوْمِ,ٱلضَّآلِّينَ]"
6,The Cattle,الأنعام,Al-An'am,78,867,فَلَمَّا رَءَا ٱلشَّمْسَ بَازِغَةًۭ قَالَ هَٰذَا رَبِّى هَٰذَآ أَكْبَرُ ۖ فَلَمَّآ أَفَلَتْ قَالَ يَٰقَوْمِ إِنِّى بَرِىٓءٌۭ مِّمَّا تُشْرِكُونَ,"Then when he saw the sun shining, he said, “This must be my Lord—it is the greatest!” But again when it set, he declared, “O my people! I totally reject whatever you associate ˹with Allah in worship˺.",110,7,2,55,165,6236,Meccan,FALSE,NA,18,"[فَلَمَّا,رَءَا,ٱلشَّمْسَ,بَازِغَةًۭ,قَالَ,هَٰذَا,رَبِّى,هَٰذَآ,أَكْبَرُ,ۖ,فَلَمَّآ,أَفَلَتْ,قَالَ,يَٰقَوْمِ,إِنِّى,بَرِىٓءٌۭ,مِّمَّا,تُشْرِكُونَ]"
6,The Cattle,الأنعام,Al-An'am,79,868,إِنِّى وَجَّهْتُ وَجْهِىَ لِلَّذِى فَطَرَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضَ حَنِيفًۭا ۖ وَمَآ أَنَا۠ مِنَ ٱلْمُشْرِكِينَ,I have turned my face towards the One Who has originated the heavens and the earth—being upright—and I am not one of the polytheists.”,110,7,2,55,165,6236,Meccan,FALSE,NA,13,"[إِنِّى,وَجَّهْتُ,وَجْهِىَ,لِلَّذِى,فَطَرَ,ٱلسَّمَٰوَٰتِ,وَٱلْأَرْضَ,حَنِيفًۭا,ۖ,وَمَآ,أَنَا۠,مِنَ,ٱلْمُشْرِكِينَ]"
6,The Cattle,الأنعام,Al-An'am,80,869,وَحَآجَّهُۥ قَوْمُهُۥ ۚ قَالَ أَتُحَٰٓجُّوٓنِّى فِى ٱللَّهِ وَقَدْ هَدَىٰنِ ۚ وَلَآ أَخَافُ مَا تُشْرِكُونَ بِهِۦٓ إِلَّآ أَن يَشَآءَ رَبِّى شَيْـًۭٔا ۗ وَسِعَ رَبِّى كُلَّ شَىْءٍ عِلْمًا ۗ أَفَلَا تَتَذَكَّرُونَ,"And his people argued with him. He responded, “Are you arguing with me about Allah, while He has guided me? I am not afraid of whatever ˹idols˺ you associate with Him—˹none can harm me,˺ unless my Lord so wills. My Lord encompasses everything in ˹His˺ knowledge. Will you not be mindful?",110,7,2,55,165,6236,Meccan,FALSE,NA,29,"[وَحَآجَّهُۥ,قَوْمُهُۥ,ۚ,قَالَ,أَتُحَٰٓجُّوٓنِّى,فِى,ٱللَّهِ,وَقَدْ,هَدَىٰنِ,ۚ,وَلَآ,أَخَافُ,مَا,تُشْرِكُونَ,بِهِۦٓ,إِلَّآ,أَن,يَشَآءَ,رَبِّى,شَيْـًۭٔا,ۗ,وَسِعَ,رَبِّى,كُلَّ,شَىْءٍ,عِلْمًا,ۗ,أَفَلَا,تَتَذَكَّرُونَ]"
6,The Cattle,الأنعام,Al-An'am,81,870,وَكَيْفَ أَخَافُ مَآ أَشْرَكْتُمْ وَلَا تَخَافُونَ أَنَّكُمْ أَشْرَكْتُم بِٱللَّهِ مَا لَمْ يُنَزِّلْ بِهِۦ عَلَيْكُمْ سُلْطَٰنًۭا ۚ فَأَىُّ ٱلْفَرِيقَيْنِ أَحَقُّ بِٱلْأَمْنِ ۖ إِن كُنتُمْ تَعْلَمُونَ,"And how should I fear your associate-gods, while you have no fear in associating ˹others˺ with Allah—a practice He has never authorized? Which side has more right to security? ˹Tell me˺ if you really know!”",110,7,2,55,165,6236,Meccan,FALSE,NA,24,"[وَكَيْفَ,أَخَافُ,مَآ,أَشْرَكْتُمْ,وَلَا,تَخَافُونَ,أَنَّكُمْ,أَشْرَكْتُم,بِٱللَّهِ,مَا,لَمْ,يُنَزِّلْ,بِهِۦ,عَلَيْكُمْ,سُلْطَٰنًۭا,ۚ,فَأَىُّ,ٱلْفَرِيقَيْنِ,أَحَقُّ,بِٱلْأَمْنِ,ۖ,إِن,كُنتُمْ,تَعْلَمُونَ]"
6,The Cattle,الأنعام,Al-An'am,82,871,ٱلَّذِينَ ءَامَنُوا۟ وَلَمْ يَلْبِسُوٓا۟ إِيمَٰنَهُم بِظُلْمٍ أُو۟لَٰٓئِكَ لَهُمُ ٱلْأَمْنُ وَهُم مُّهْتَدُونَ,It is ˹only˺ those who are faithful and do not tarnish their faith with falsehood who are guaranteed security and are ˹rightly˺ guided.,110,7,2,55,165,6236,Meccan,FALSE,NA,11,"[ٱلَّذِينَ,ءَامَنُوا۟,وَلَمْ,يَلْبِسُوٓا۟,إِيمَٰنَهُم,بِظُلْمٍ,أُو۟لَٰٓئِكَ,لَهُمُ,ٱلْأَمْنُ,وَهُم,مُّهْتَدُونَ]"
6,The Cattle,الأنعام,Al-An'am,83,872,وَتِلْكَ حُجَّتُنَآ ءَاتَيْنَٰهَآ إِبْرَٰهِيمَ عَلَىٰ قَوْمِهِۦ ۚ نَرْفَعُ دَرَجَٰتٍۢ مَّن نَّشَآءُ ۗ إِنَّ رَبَّكَ حَكِيمٌ عَلِيمٌۭ,"This was the argument We gave Abraham against his people. We elevate in rank whoever We please. Surely your Lord is All-Wise, All-Knowing.",111,7,2,55,165,6236,Meccan,FALSE,NA,16,"[وَتِلْكَ,حُجَّتُنَآ,ءَاتَيْنَٰهَآ,إِبْرَٰهِيمَ,عَلَىٰ,قَوْمِهِۦ,ۚ,نَرْفَعُ,دَرَجَٰتٍۢ,مَّن,نَّشَآءُ,ۗ,إِنَّ,رَبَّكَ,حَكِيمٌ,عَلِيمٌۭ]"
6,The Cattle,الأنعام,Al-An'am,84,873,وَوَهَبْنَا لَهُۥٓ إِسْحَٰقَ وَيَعْقُوبَ ۚ كُلًّا هَدَيْنَا ۚ وَنُوحًا هَدَيْنَا مِن قَبْلُ ۖ وَمِن ذُرِّيَّتِهِۦ دَاوُۥدَ وَسُلَيْمَٰنَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَٰرُونَ ۚ وَكَذَٰلِكَ نَجْزِى ٱلْمُحْسِنِينَ,"And We blessed him with Isaac and Jacob. We guided them all as We previously guided Noah and those among his descendants: David, Solomon, Job, Joseph, Moses, and Aaron. This is how We reward the good-doers.",111,7,2,55,165,6236,Meccan,FALSE,NA,25,"[وَوَهَبْنَا,لَهُۥٓ,إِسْحَٰقَ,وَيَعْقُوبَ,ۚ,كُلًّا,هَدَيْنَا,ۚ,وَنُوحًا,هَدَيْنَا,مِن,قَبْلُ,ۖ,وَمِن,ذُرِّيَّتِهِۦ,دَاوُۥدَ,وَسُلَيْمَٰنَ,وَأَيُّوبَ,وَيُوسُفَ,وَمُوسَىٰ,وَهَٰرُونَ,ۚ,وَكَذَٰلِكَ,نَجْزِى,ٱلْمُحْسِنِينَ]"
6,The Cattle,الأنعام,Al-An'am,85,874,وَزَكَرِيَّا وَيَحْيَىٰ وَعِيسَىٰ وَإِلْيَاسَ ۖ كُلٌّۭ مِّنَ ٱلصَّٰلِحِينَ,"Likewise, ˹We guided˺ Zachariah, John, Jesus, and Elias, who were all of the righteous.",111,7,2,55,165,6236,Meccan,FALSE,NA,8,"[وَزَكَرِيَّا,وَيَحْيَىٰ,وَعِيسَىٰ,وَإِلْيَاسَ,ۖ,كُلٌّۭ,مِّنَ,ٱلصَّٰلِحِينَ]"
6,The Cattle,الأنعام,Al-An'am,86,875,وَإِسْمَٰعِيلَ وَٱلْيَسَعَ وَيُونُسَ وَلُوطًۭا ۚ وَكُلًّۭا فَضَّلْنَا عَلَى ٱلْعَٰلَمِينَ,"˹We also guided˺ Ishmael, Elisha, Jonah, and Lot, favouring each over other people ˹of their time˺.",111,7,2,55,165,6236,Meccan,FALSE,NA,9,"[وَإِسْمَٰعِيلَ,وَٱلْيَسَعَ,وَيُونُسَ,وَلُوطًۭا,ۚ,وَكُلًّۭا,فَضَّلْنَا,عَلَى,ٱلْعَٰلَمِينَ]"
6,The Cattle,الأنعام,Al-An'am,87,876,وَمِنْ ءَابَآئِهِمْ وَذُرِّيَّٰتِهِمْ وَإِخْوَٰنِهِمْ ۖ وَٱجْتَبَيْنَٰهُمْ وَهَدَيْنَٰهُمْ إِلَىٰ صِرَٰطٍۢ مُّسْتَقِيمٍۢ,"And ˹We favoured˺ some of their forefathers, their descendants, and their brothers. We chose them and guided them to the Straight Path.",111,7,2,55,165,6236,Meccan,FALSE,NA,10,"[وَمِنْ,ءَابَآئِهِمْ,وَذُرِّيَّٰتِهِمْ,وَإِخْوَٰنِهِمْ,ۖ,وَٱجْتَبَيْنَٰهُمْ,وَهَدَيْنَٰهُمْ,إِلَىٰ,صِرَٰطٍۢ,مُّسْتَقِيمٍۢ]"
6,The Cattle,الأنعام,Al-An'am,88,877,ذَٰلِكَ هُدَى ٱللَّهِ يَهْدِى بِهِۦ مَن يَشَآءُ مِنْ عِبَادِهِۦ ۚ وَلَوْ أَشْرَكُوا۟ لَحَبِطَ عَنْهُم مَّا كَانُوا۟ يَعْمَلُونَ,"This is Allah’s guidance with which He guides whoever He wills of His servants. Had they associated others with Him ˹in worship˺, their ˹good˺ deeds would have been wasted.",111,7,2,55,165,6236,Meccan,FALSE,NA,17,"[ذَٰلِكَ,هُدَى,ٱللَّهِ,يَهْدِى,بِهِۦ,مَن,يَشَآءُ,مِنْ,عِبَادِهِۦ,ۚ,وَلَوْ,أَشْرَكُوا۟,لَحَبِطَ,عَنْهُم,مَّا,كَانُوا۟,يَعْمَلُونَ]"
6,The Cattle,الأنعام,Al-An'am,89,878,أُو۟لَٰٓئِكَ ٱلَّذِينَ ءَاتَيْنَٰهُمُ ٱلْكِتَٰبَ وَٱلْحُكْمَ وَٱلنُّبُوَّةَ ۚ فَإِن يَكْفُرْ بِهَا هَٰٓؤُلَآءِ فَقَدْ وَكَّلْنَا بِهَا قَوْمًۭا لَّيْسُوا۟ بِهَا بِكَٰفِرِينَ,"Those were the ones to whom We gave the Scripture, wisdom, and prophethood. But if these ˹pagans˺ disbelieve in this ˹message˺, then We have already entrusted it to a people who will never disbelieve in it.",111,7,2,55,165,6236,Meccan,FALSE,NA,18,"[أُو۟لَٰٓئِكَ,ٱلَّذِينَ,ءَاتَيْنَٰهُمُ,ٱلْكِتَٰبَ,وَٱلْحُكْمَ,وَٱلنُّبُوَّةَ,ۚ,فَإِن,يَكْفُرْ,بِهَا,هَٰٓؤُلَآءِ,فَقَدْ,وَكَّلْنَا,بِهَا,قَوْمًۭا,لَّيْسُوا۟,بِهَا,بِكَٰفِرِينَ]"
6,The Cattle,الأنعام,Al-An'am,90,879,أُو۟لَٰٓئِكَ ٱلَّذِينَ هَدَى ٱللَّهُ ۖ فَبِهُدَىٰهُمُ ٱقْتَدِهْ ۗ قُل لَّآ أَسْـَٔلُكُمْ عَلَيْهِ أَجْرًا ۖ إِنْ هُوَ إِلَّا ذِكْرَىٰ لِلْعَٰلَمِينَ,"These ˹prophets˺ were ˹rightly˺ guided by Allah, so follow their guidance. Say, “I ask no reward of you for this ˹Quran˺—it is a reminder to the whole world.”",111,7,2,55,165,6236,Meccan,FALSE,NA,19,"[أُو۟لَٰٓئِكَ,ٱلَّذِينَ,هَدَى,ٱللَّهُ,ۖ,فَبِهُدَىٰهُمُ,ٱقْتَدِهْ,ۗ,قُل,لَّآ,أَسْـَٔلُكُمْ,عَلَيْهِ,أَجْرًا,ۖ,إِنْ,هُوَ,إِلَّا,ذِكْرَىٰ,لِلْعَٰلَمِينَ]"
6,The Cattle,الأنعام,Al-An'am,91,880,وَمَا قَدَرُوا۟ ٱللَّهَ حَقَّ قَدْرِهِۦٓ إِذْ قَالُوا۟ مَآ أَنزَلَ ٱللَّهُ عَلَىٰ بَشَرٍۢ مِّن شَىْءٍۢ ۗ قُلْ مَنْ أَنزَلَ ٱلْكِتَٰبَ ٱلَّذِى جَآءَ بِهِۦ مُوسَىٰ نُورًۭا وَهُدًۭى لِّلنَّاسِ ۖ تَجْعَلُونَهُۥ قَرَاطِيسَ تُبْدُونَهَا وَتُخْفُونَ كَثِيرًۭا ۖ وَعُلِّمْتُم مَّا لَمْ تَعْلَمُوٓا۟ أَنتُمْ وَلَآ ءَابَآؤُكُمْ ۖ قُلِ ٱللَّهُ ۖ ثُمَّ ذَرْهُمْ فِى خَوْضِهِمْ يَلْعَبُونَ,"And they have not shown Allah His proper reverence when they said, “Allah has revealed nothing to any human being.” Say, ˹O Prophet,˺ “Who then revealed the Book brought forth by Moses as a light and guidance for people, which you split into separate sheets—revealing some and hiding much? You have been taught ˹through this Quran˺ what neither you nor your forefathers knew.” Say, ˹O Prophet,˺ “Allah ˹revealed it˺!” Then leave them to amuse themselves with falsehood.",112,7,2,55,165,6236,Meccan,FALSE,NA,49,"[وَمَا,قَدَرُوا۟,ٱللَّهَ,حَقَّ,قَدْرِهِۦٓ,إِذْ,قَالُوا۟,مَآ,أَنزَلَ,ٱللَّهُ,عَلَىٰ,بَشَرٍۢ,مِّن,شَىْءٍۢ,ۗ,قُلْ,مَنْ,أَنزَلَ,ٱلْكِتَٰبَ,ٱلَّذِى,جَآءَ,بِهِۦ,مُوسَىٰ,نُورًۭا,وَهُدًۭى,لِّلنَّاسِ,ۖ,تَجْعَلُونَهُۥ,قَرَاطِيسَ,تُبْدُونَهَا,وَتُخْفُونَ,كَثِيرًۭا,ۖ,وَعُلِّمْتُم,مَّا,لَمْ,تَعْلَمُوٓا۟,أَنتُمْ,وَلَآ,ءَابَآؤُكُمْ,ۖ,قُلِ,ٱللَّهُ,ۖ,ثُمَّ,ذَرْهُمْ,فِى,خَوْضِهِمْ,يَلْعَبُونَ]"
6,The Cattle,الأنعام,Al-An'am,92,881,وَهَٰذَا كِتَٰبٌ أَنزَلْنَٰهُ مُبَارَكٌۭ مُّصَدِّقُ ٱلَّذِى بَيْنَ يَدَيْهِ وَلِتُنذِرَ أُمَّ ٱلْقُرَىٰ وَمَنْ حَوْلَهَا ۚ وَٱلَّذِينَ يُؤْمِنُونَ بِٱلْءَاخِرَةِ يُؤْمِنُونَ بِهِۦ ۖ وَهُمْ عَلَىٰ صَلَاتِهِمْ يُحَافِظُونَ,This is a blessed Book which We have revealed—confirming what came before it—so you may warn the Mother of Cities and everyone around it. Those who believe in the Hereafter ˹truly˺ believe in it and guard their prayers.,112,7,2,55,165,6236,Meccan,FALSE,NA,24,"[وَهَٰذَا,كِتَٰبٌ,أَنزَلْنَٰهُ,مُبَارَكٌۭ,مُّصَدِّقُ,ٱلَّذِى,بَيْنَ,يَدَيْهِ,وَلِتُنذِرَ,أُمَّ,ٱلْقُرَىٰ,وَمَنْ,حَوْلَهَا,ۚ,وَٱلَّذِينَ,يُؤْمِنُونَ,بِٱلْءَاخِرَةِ,يُؤْمِنُونَ,بِهِۦ,ۖ,وَهُمْ,عَلَىٰ,صَلَاتِهِمْ,يُحَافِظُونَ]"
6,The Cattle,الأنعام,Al-An'am,93,882,وَمَنْ أَظْلَمُ مِمَّنِ ٱفْتَرَىٰ عَلَى ٱللَّهِ كَذِبًا أَوْ قَالَ أُوحِىَ إِلَىَّ وَلَمْ يُوحَ إِلَيْهِ شَىْءٌۭ وَمَن قَالَ سَأُنزِلُ مِثْلَ مَآ أَنزَلَ ٱللَّهُ ۗ وَلَوْ تَرَىٰٓ إِذِ ٱلظَّٰلِمُونَ فِى غَمَرَٰتِ ٱلْمَوْتِ وَٱلْمَلَٰٓئِكَةُ بَاسِطُوٓا۟ أَيْدِيهِمْ أَخْرِجُوٓا۟ أَنفُسَكُمُ ۖ ٱلْيَوْمَ تُجْزَوْنَ عَذَابَ ٱلْهُونِ بِمَا كُنتُمْ تَقُولُونَ عَلَى ٱللَّهِ غَيْرَ ٱلْحَقِّ وَكُنتُمْ عَنْ ءَايَٰتِهِۦ تَسْتَكْبِرُونَ,"Who does more wrong than the one who fabricates lies against Allah or claims, “I have received revelations!”—although nothing was revealed to them—or the one who says, “I can reveal the like of Allah’s revelations!”? If you ˹O Prophet˺ could only see the wrongdoers in the throes of death while the angels are stretching out their hands ˹saying˺, “Give up your souls! Today you will be rewarded with the torment of disgrace for telling lies about Allah and for being arrogant towards His revelations!”",112,7,2,55,165,6236,Meccan,FALSE,NA,51,"[وَمَنْ,أَظْلَمُ,مِمَّنِ,ٱفْتَرَىٰ,عَلَى,ٱللَّهِ,كَذِبًا,أَوْ,قَالَ,أُوحِىَ,إِلَىَّ,وَلَمْ,يُوحَ,إِلَيْهِ,شَىْءٌۭ,وَمَن,قَالَ,سَأُنزِلُ,مِثْلَ,مَآ,أَنزَلَ,ٱللَّهُ,ۗ,وَلَوْ,تَرَىٰٓ,إِذِ,ٱلظَّٰلِمُونَ,فِى,غَمَرَٰتِ,ٱلْمَوْتِ,وَٱلْمَلَٰٓئِكَةُ,بَاسِطُوٓا۟,أَيْدِيهِمْ,أَخْرِجُوٓا۟,أَنفُسَكُمُ,ۖ,ٱلْيَوْمَ,تُجْزَوْنَ,عَذَابَ,ٱلْهُونِ,بِمَا,كُنتُمْ,تَقُولُونَ,عَلَى,ٱللَّهِ,غَيْرَ,ٱلْحَقِّ,وَكُنتُمْ,عَنْ,ءَايَٰتِهِۦ,تَسْتَكْبِرُونَ]"
6,The Cattle,الأنعام,Al-An'am,94,883,وَلَقَدْ جِئْتُمُونَا فُرَٰدَىٰ كَمَا خَلَقْنَٰكُمْ أَوَّلَ مَرَّةٍۢ وَتَرَكْتُم مَّا خَوَّلْنَٰكُمْ وَرَآءَ ظُهُورِكُمْ ۖ وَمَا نَرَىٰ مَعَكُمْ شُفَعَآءَكُمُ ٱلَّذِينَ زَعَمْتُمْ أَنَّهُمْ فِيكُمْ شُرَكَٰٓؤُا۟ ۚ لَقَد تَّقَطَّعَ بَيْنَكُمْ وَضَلَّ عَنكُم مَّا كُنتُمْ تَزْعُمُونَ,˹Today˺ you have come back to Us all alone as We created you the first time—leaving behind everything We have provided you with. We do not see your intercessors with you—those you claimed were Allah’s partners ˹in worship˺. All your ties have been broken and all your claims have let you down.”,112,7,2,55,165,6236,Meccan,FALSE,NA,31,"[وَلَقَدْ,جِئْتُمُونَا,فُرَٰدَىٰ,كَمَا,خَلَقْنَٰكُمْ,أَوَّلَ,مَرَّةٍۢ,وَتَرَكْتُم,مَّا,خَوَّلْنَٰكُمْ,وَرَآءَ,ظُهُورِكُمْ,ۖ,وَمَا,نَرَىٰ,مَعَكُمْ,شُفَعَآءَكُمُ,ٱلَّذِينَ,زَعَمْتُمْ,أَنَّهُمْ,فِيكُمْ,شُرَكَٰٓؤُا۟,ۚ,لَقَد,تَّقَطَّعَ,بَيْنَكُمْ,وَضَلَّ,عَنكُم,مَّا,كُنتُمْ,تَزْعُمُونَ]"
6,The Cattle,الأنعام,Al-An'am,95,884,۞ إِنَّ ٱللَّهَ فَالِقُ ٱلْحَبِّ وَٱلنَّوَىٰ ۖ يُخْرِجُ ٱلْحَىَّ مِنَ ٱلْمَيِّتِ وَمُخْرِجُ ٱلْمَيِّتِ مِنَ ٱلْحَىِّ ۚ ذَٰلِكُمُ ٱللَّهُ ۖ فَأَنَّىٰ تُؤْفَكُونَ,"Indeed, Allah is the One Who causes seeds and fruit stones to sprout. He brings forth the living from the dead and the dead from the living. That is Allah! How can you then be deluded ˹from the truth˺?",113,7,2,56,165,6236,Meccan,FALSE,NA,21,"[۞,إِنَّ,ٱللَّهَ,فَالِقُ,ٱلْحَبِّ,وَٱلنَّوَىٰ,ۖ,يُخْرِجُ,ٱلْحَىَّ,مِنَ,ٱلْمَيِّتِ,وَمُخْرِجُ,ٱلْمَيِّتِ,مِنَ,ٱلْحَىِّ,ۚ,ذَٰلِكُمُ,ٱللَّهُ,ۖ,فَأَنَّىٰ,تُؤْفَكُونَ]"
6,The Cattle,الأنعام,Al-An'am,96,885,فَالِقُ ٱلْإِصْبَاحِ وَجَعَلَ ٱلَّيْلَ سَكَنًۭا وَٱلشَّمْسَ وَٱلْقَمَرَ حُسْبَانًۭا ۚ ذَٰلِكَ تَقْدِيرُ ٱلْعَزِيزِ ٱلْعَلِيمِ,"He causes the dawn to break, and has made the night for rest and ˹made˺ the sun and the moon ˹to travel˺ with precision. That is the design of the Almighty, All-Knowing.",113,7,2,56,165,6236,Meccan,FALSE,NA,13,"[فَالِقُ,ٱلْإِصْبَاحِ,وَجَعَلَ,ٱلَّيْلَ,سَكَنًۭا,وَٱلشَّمْسَ,وَٱلْقَمَرَ,حُسْبَانًۭا,ۚ,ذَٰلِكَ,تَقْدِيرُ,ٱلْعَزِيزِ,ٱلْعَلِيمِ]"
