,lemma,buckwalter,frequency,part_of_speech
648,صَوْت,Sawot,8,Noun
649,طَّٰغُوت,T~a`guwt,8,Noun
650,طَيِّب,Tay~ib,8,Adjective
651,طَيِّب,Tay~ib,8,Noun
652,ظَٰهِر,Za`hir,8,Noun
653,عُدْوَٰن,Eudowa`n,8,Noun
654,عَشِىّ,Ea$iY~,8,Noun
655,عَقِب,Eaqib,8,Noun
656,عَلِيّ,Ealiy~,8,Noun
657,غَلِيظ,galiyZ,8,Adjective
658,فَرْج,faroj,8,Noun
659,فَصْل,faSol,8,Noun
660,قَانِت,qaAnit,8,Noun
661,قَدَم,qadam,8,Noun
662,قَرِين,qariyn,8,Noun
663,كَبِير,kabiyr,8,Noun
664,لَٰكِن,la`kin,8,Accusative particle
665,لَعِب,laEib,8,Noun
666,مُتَّكِـِٔين,mut~aki_#iyn,8,Noun
667,مِثْقَال,mivoqaAl,8,Noun
668,مُجْرِم,mujorim,8,Adjective
669,مُحْصَنَٰت,muHoSana`t,8,Noun
670,مُخْلَص,muxolaS,8,Adjective
671,مُدْبِر,mudobir,8,Noun
672,مُشْفِقُون,mu$ofiquwn,8,Noun
673,مُّقِيم,m~uqiym,8,Noun
674,مَنَٰفِع,mana`fiE,8,Noun
675,مَّوَدَّة,m~awad~ap,8,Noun
676,مِيقَٰت,miyqa`t,8,Noun
677,نُزُل,nuzul,8,Noun
678,هُنَالِك,hunaAlik,8,Time adverb
679,وَصِيَّة,waSiy~ap,8,Noun
680,يَمّ,yam~,8,Noun
681,ـَٰٔن,_#a`n,8,Time adverb
682,أَبْقَىٰٓ,>aboqaY`^,7,Noun
683,أَبَوَان,>abawaAn,7,Noun
684,ٱثْنَتَيْن,{vonatayon,7,Noun
685,أَثِيم,>aviym,7,Adjective
686,ٱخْتِلَٰف,{xotila`f,7,Noun
687,إِخْوَةٌ,<ixowapN,7,Noun
688,إِصْلَٰح,<iSola`H,7,Noun
689,أُكُل,>ukul,7,Noun
690,أَهْدَىٰ,>ahodaY`,7,Noun
691,بَشِير,ba$iyr,7,Noun
692,بَصِيرَة,baSiyrap,7,Noun
693,بُعْد,buEod,7,Noun
694,بُنْيَٰن,bunoya`n,7,Noun
695,بَيْع,bayoE,7,Noun
696,تَبْدِيل,tabodiyl,7,Noun
697,تَوْبَة,tawobap,7,Noun
698,ثَلَٰث,vala`v,7,Noun
699,جَآنّ,jaA^n~,7,Noun
700,جَمِيل,jamiyl,7,Adjective
701,جَنَاح,janaAH,7,Noun
702,جَهْر,jahor,7,Noun
703,حَبّ,Hab~,7,Noun
704,حَبْل,Habol,7,Noun
705,حِجَاب,HijaAb,7,Noun
706,حُجَّة,Huj~ap,7,Noun
707,حَسْرَة,Hasorap,7,Noun
708,حُسْنَىٰ,HusonaY`,7,Adjective
709,حَظّ,HaZ~,7,Noun
710,حَفِيظ,HafiyZ,7,Noun
711,حَمْل,Hamol,7,Noun
712,ذِلَّة,*il~ap,7,Noun
713,رِّبَوٰا,r~ibaw`A,7,Noun
714,رُّءْيَا,r~u'oyaA,7,Noun
715,زُبُر,zubur,7,Noun
716,زَكَرِيَّا,zakariy~aA,7,Proper noun
717,سَآئِل,saA^}il,7,Noun
718,سَابِق,saAbiq,7,Noun
719,سِتَّة,sit~ap,7,Noun
720,سَفَر,safar,7,Noun
721,سَفِيه,safiyh,7,Noun
722,سَنَة,sanap,7,Noun
723,شَجَر,$ajar,7,Noun
724,شِقَاق,$iqaAq,7,Noun
725,صَفّ,Saf~,7,Noun
726,ضِعْف,DiEof,7,Noun
727,ضَعِيف,DaEiyf,7,Noun
728,عَاكِف,EaAkif,7,Noun
729,عُمُر,Eumur,7,Noun
730,غَٰبِرِين,ga`biriyn,7,Noun
731,فَحْشَآء,faHo$aA^',7,Noun
732,فُرْقَان,furoqaAn,7,Noun
733,قَاعِد,qaAEid,7,Noun
734,قِبْلَة,qibolap,7,Noun
735,قَدْر,qador,7,Noun
736,كَٰرِهُون,ka`rihuwn,7,Noun
737,كَأَيِّن,ka>ay~in,7,Noun
738,كَبِيرَة,kabiyrap,7,Noun
739,كَى,kaY,7,Subordinating conjunction
740,لَيْلَة,layolap,7,Noun
741,مُرِيب,muriyb,7,Noun
742,مَّطَر,m~aTar,7,Noun
743,مَفْعُول,mafoEuwl,7,Noun
744,مُقَرَّبُون,muqar~abuwn,7,Noun
745,مِهَٰد,miha`d,7,Noun
746,مُّهِين,m~uhiyn,7,Adjective
747,مُّهِين,m~uhiyn,7,Noun
748,مُؤْمِن,mu&omin,7,Adjective
749,نَاقَة,naAqap,7,Noun
750,نَّخِيل,n~axiyl,7,Noun
751,هَاد,haAd,7,Noun
752,هَدْي,hadoy,7,Noun
753,هُود,huwd,7,Proper noun
754,وَاد,waAd,7,Noun
755,وَارِث,waAriv,7,Noun
756,وَلِيد,waliyd,7,Noun
757,يُسْر,yusor,7,Noun
758,أَبْكَم,>abokam,6,Noun
759,أَخْذ,>axo*,6,Noun
760,إِخْرَاج,<ixoraAj,6,Noun
761,أَرْبَع,>arobaE,6,Noun
762,إِسْلَٰم,<isola`m,6,Proper noun
763,أَعْلَىٰ,>aEolaY`,6,Noun
764,أُمْنِيَّت,>umoniy~at,6,Noun
765,أُنثَيَيْن,>unvayayon,6,Noun
766,أَندَاد,>andaAd,6,Noun
767,بَٰلِغ,ba`lig,6,Noun
768,بَعْل,baEol,6,Noun
769,بُكْرَة,bukorap,6,Time adverb
770,بَلَآء,balaA^',6,Noun
771,بُهْتَٰن,buhota`n,6,Noun
772,تَحِيَّة,taHiy~ap,6,Noun
773,ثَّقَلَان,v~aqalaAn,6,Noun
774,جَاعِل,jaAEil,6,Noun
775,حَدِيد,Hadiyd,6,Noun
776,حَلَٰل,Hala`l,6,Noun
777,حُلُم,Hulum,6,Noun
778,حَمِيم,Hamiym,6,Adjective
779,خِلَٰف,xila`f,6,Noun
780,خَلَٰق,xala`q,6,Noun
781,خُلْد,xulod,6,Noun
782,خَمْر,xamor,6,Noun
783,خِيفَة,xiyfap,6,Noun
784,دَعْوَة,daEowap,6,Noun
785,ذَرَّة,*ar~ap,6,Noun
786,رَّٰحِمِين,r~a`Himiyn,6,Noun
787,رَّٰزِقِين,r~a`ziqiyn,6,Noun
788,رِسَٰلَٰت,risa`la`t,6,Noun
789,رُشْد,ru$od,6,Noun
790,سَّبْت,s~abot,6,Noun
791,سِّجْن,s~ijon,6,Noun
792,سُرُر,surur,6,Noun
793,سَعَة,saEap,6,Noun
794,سَكِينَة,sakiynap,6,Noun
795,سِيمَٰ,siyma`,6,Noun
796,طَرْف,Tarof,6,Noun
797,ظُلَّة,Zul~ap,6,Noun
798,عَاد,EaAd,6,Noun
799,عِبْرَة,Eiborap,6,Noun
800,عَدَٰوَة,Eada`wap,6,Noun
801,عَرَض,EaraD,6,Noun
802,عُقْبَى,EuqobaY,6,Noun
803,غَٰوِين,ga`wiyn,6,Noun
804,غَمّ,gam~,6,Noun
805,غَيْظ,gayoZ,6,Noun
806,فَاطِر,faATir,6,Noun
807,فَجْر,fajor,6,Noun
808,فَرِح,fariH,6,Noun
809,فَرِيضَة,fariyDap,6,Noun
810,فِضَّة,fiD~ap,6,Noun
811,قَبْر,qabor,6,Noun
812,قَرْض,qaroD,6,Noun
813,قَصَص,qaSaS,6,Noun
814,قَمِيص,qamiyS,6,Noun
815,قَهَّار,qah~aAr,6,Adjective
816,كَأْس,ka>os,6,Noun
817,كِبَر,kibar,6,Noun
818,كُبْرَىٰ,kuboraY`,6,Adjective
819,كَرَّة,kar~ap,6,Noun
820,كَفُور,kafuwr,6,Adjective
821,كَفُور,kafuwr,6,Noun
822,كَنز,kanz,6,Noun
823,كَهْف,kahof,6,Noun
824,لَّعَلّ,l~aEal~,6,Accusative particle
825,لُؤْلُؤ,lu&olu&,6,Noun
826,مُبَارَك,mubaArak,6,Noun
827,مُتَكَبِّر,mutakab~ir,6,Noun
828,مُّدَّكِر,m~ud~akir,6,Noun
829,مَرَدّ,marad~,6,Noun
830,مُسْتَكْبِر,musotakobir,6,Noun
831,مُعْتَدِين,muEotadiyn,6,Noun
832,مَقْت,maqot,6,Noun
833,مَنّ,man~,6,Noun
834,مُنتَظِرُون,muntaZiruwn,6,Noun
835,مُنظَرُون,munZaruwn,6,Noun
836,مُّنِيب,m~uniyb,6,Noun
837,مُهَاجِر,muhaAjir,6,Noun
838,مَوْج,mawoj,6,Noun
839,مِّيعَاد,m~iyEaAd,6,Noun
840,نَاصِح,naASiH,6,Noun
841,نِصْف,niSof,6,Noun
842,هَٰمَٰن,ha`ma`n,6,Proper noun
843,وَٰحِد,wa`Hid,6,Noun
844,وَحْد,waHod,6,Noun
845,وَحْى,waHoY,6,Noun
846,وَعِيد,waEiyd,6,Noun
847,وَقْر,waqor,6,Noun
848,يَقِين,yaqiyn,6,Noun
849,أَبْيَض,>aboyaD,5,Noun
850,أَحَقّ,>aHaq~,5,Noun
851,أَحَقّ,>aHaq~,5,Adjective
852,أَرَآئِك,>araA^}ik,5,Noun
853,أَسَاوِر,>asaAwir,5,Noun
854,أَسْبَاط,>asobaAT,5,Noun
855,أَصْنَام,>aSonaAm,5,Noun
856,ٱللَّهُمَّ,{ll~ahum~a,5,Proper noun
857,ٱمْرِئ,{mori},5,Noun
858,أَمْن,>amon,5,Noun
859,إِن,<in,5,Particle of certainty
860,أَوَّاب,>aw~aAb,5,Noun
861,أَيَّان,>ay~aAn,5,Interogative particle
862,بَرْق,baroq,5,Noun
863,بِضَٰعَة,biDa`Eap,5,Noun
864,بَعِيد,baEiyd,5,Noun
865,بَغْضَآء,bagoDaA^',5,Noun
866,بَلْدَة,balodap,5,Noun
867,تَحْرِير,taHoriyr,5,Noun
868,تِسْع,tisoE,5,Noun
869,تَفْصِيل,tafoSiyl,5,Noun
870,تَقْدِير,taqodiyr,5,Noun
871,تَقَلُّب,taqal~ub,5,Noun
872,ثُّلُث,v~uluv,5,Noun
873,ثَمَر,vamar,5,Noun
874,جَٰثِمِين,ja`vimiyn,5,Noun
875,جَبَّار,jab~aAr,5,Adjective
876,جَبَّار,jab~aAr,5,Noun
877,جَرَم,jaram,5,Noun
878,جَهْد,jahod,5,Noun
879,حَٰكِمِين,Ha`kimiyn,5,Noun
880,حَبَّة,Hab~ap,5,Noun
881,حَرِيق,Hariyq,5,Noun
882,حَفِيظ,HafiyZ,5,Adjective
883,حَقّ,Haq~,5,Adjective
884,حِلّ,Hil~,5,Noun
885,حِمَار,HimaAr,5,Noun
886,حَوَارِيُّون,HawaAriy~uwn,5,Noun
887,حُوت,Huwt,5,Noun
888,خَٰطِـِٔين,xa`Ti_#iyn,5,Noun
889,خَالِصَة,xaAliSap,5,Noun
890,خُرُوج,xuruwj,5,Noun
891,خَصِيم,xaSiym,5,Noun
892,خَطْب,xaTob,5,Noun
893,خُطُوَٰت,xuTuwa`t,5,Noun
894,خَلْف,xalof,5,Location adverb
895,خِنزِير,xinziyr,5,Noun
896,خَيْل,xayol,5,Noun
897,دَيْن,dayon,5,Noun
898,ذَا,*aA,5,Demonstrative pronoun
899,رَشَد,ra$ad,5,Noun
900,رُعْب,ruEob,5,Noun
901,رَقِيب,raqiyb,5,Noun
902,زَّيْتُون,z~ayotuwn,5,Noun
903,سَاجِد,saAjid,5,Adjective
904,سَلَم,salam,5,Noun
905,سَوْءَٰت,sawo'a`t,5,Noun
906,شَّٰرِبِين,$~a`ribiyn,5,Noun
907,شَاعِر,$aAEir,5,Noun
908,شِرْك,$irok,5,Noun
909,شَطْر,$aTor,5,Location adverb
910,صَٰغِرُون,Sa`giruwn,5,Noun
911,صَٰلِح,Sa`liH,5,Adjective
912,صَدَقَة,Sadaqap,5,Noun
913,صِدِّيق,Sid~iyq,5,Noun
914,صَيْد,Sayod,5,Noun
915,ضَيْف,Dayof,5,Noun
916,طَٰٓئِر,Ta`^}ir,5,Noun
917,طَرَف,Taraf,5,Noun
918,طَرِيقَة,Tariyqap,5,Noun
919,ظَلَّٰم,Zal~a`m,5,Noun
920,عَدَد,Eadad,5,Noun
921,عَزْم,Eazom,5,Noun
922,عُسْر,Eusor,5,Noun
923,عَشْر,Ea$or,5,Noun
924,عَطَآء,EaTaA^',5,Noun
925,عَفُوّ,Eafuw~,5,Noun
926,عَلَقَة,Ealaqap,5,Noun
927,غَد,gad,5,Noun
928,غُدُوّ,guduw~,5,Noun
929,غُرْفَة,gurofap,5,Noun
930,غَفْلَة,gafolap,5,Noun
931,فَوْج,fawoj,5,Noun
932,قَآئِل,qaA^}il,5,Noun
933,قَارِعَة,qaAriEap,5,Noun
934,قَيِّم,qay~im,5,Adjective
935,كَآفَّة,kaA^f~ap,5,Noun
936,كَاتِب,kaAtib,5,Noun
937,كَرْه,karoh,5,Noun
938,كَلْب,kalob,5,Noun
939,كَوْكَب,kawokab,5,Noun
940,لَوْح,lawoH,5,Noun
941,مُبْطِلُون,muboTiluwn,5,Noun
942,مُتْرَفِين,mutorafiyn,5,Noun
943,مُتَشَٰبِه,muta$a`bih,5,Noun
944,مَّحِيص,m~aHiyS,5,Noun
945,مُخْرَج,muxoraj,5,Noun
946,مَرْضَات,maroDaAt,5,Noun
947,مِرْيَة,miroyap,5,Noun
948,مُّسَمًّى,m~usam~FY,5,Adjective
949,مَسْـُٔول,maso_#uwl,5,Noun
950,مُصْبِحِين,muSobiHiyn,5,Noun
951,مُصْلِح,muSoliH,5,Noun
952,مُّطَهَّرَة,m~uTah~arap,5,Adjective
953,مَع,maE2,5,Preposition
954,مَّعْدُودَة,m~aEoduwdap,5,Adjective
955,مَكَانَت,makaAnat,5,Noun
956,مَلُوم,maluwm,5,Noun
957,مُنَٰفِقَٰت,muna`fiqa`t,5,Noun
958,مُنذَرِين,mun*ariyn,5,Noun
959,مُنزِلِين,munziliyn,5,Noun
960,مُّنِير,m~uniyr,5,Noun
961,مَهْد,mahod,5,Noun
962,مُهْلِك,muholik,5,Noun
963,مُّوقِنِين,m~uwqiniyn,5,Noun
964,مَيْتَة,mayotap,5,Noun
965,نَٰدِمِين,na`dimiyn,5,Noun
966,نَٰظِرِين,na`Ziriyn,5,Noun
967,نُّبُوَّة,n~ubuw~ap,5,Noun
968,نُشُور,nu$uwr,5,Noun
969,نُفُور,nufuwr,5,Noun
970,نِكَاح,nikaAH,5,Noun
971,وَازِرَة,waAzirap,5,Noun
972,وَاقِع,waAqiE,5,Noun
973,وُسْع,wusoE,5,Noun
974,يَحْيَىٰ,yaHoyaY`,5,Proper noun
975,يَسِير,yasiyr,5,Noun
976,أَحْبَار,>aHobaAr,4,Noun
977,أَخْسَرِين,>axosariyn,4,Noun
978,أَرْحَم,>aroHam,4,Noun
979,أَرْذَل,>aro*al,4,Noun
980,أَزْكَىٰ,>azokaY`,4,Noun
981,إِسْتَبْرَق,<isotaboraq,4,Noun
982,أَسْلِحَت,>asoliHat,4,Noun
983,أَسِير,>asiyr,4,Noun
984,أَصِيل,>aSiyl,4,Time adverb
985,أَطْهَر,>aTohar,4,Noun
986,أَقْوَم,>aqowam,4,Noun
987,أَكْل,>akol,4,Noun
988,أَكِنَّة,>akin~ap,4,Noun
989,أَكْوَاب,>akowaAb,4,Noun
990,ٱلَّٰٓـِٔى,{l~a`^_#iY,4,Relative pronoun
991,أَمَٰنَٰت,>ama`na`t,4,Noun
992,أَمَد,>amad,4,Noun
993,أَمْس,>amos,4,Noun
994,أُمِّىّ,>um~iY~,4,Noun
995,ٱنتِقَام,{ntiqaAm,4,Noun
996,أَيْكَة,>ayokap,4,Noun
997,أَيْن,>ayon,4,Location adverb
998,أَيُّوب,>ay~uwb,4,Proper noun
999,بَأْسَآء,ba>osaA^',4,Noun
1000,بَٰسِط,ba`siT,4,Noun
1001,بَال,baAl,4,Noun
1002,بُرُوج,buruwj,4,Noun
1003,بَعْث,baEov,4,Noun
1004,بَقَرَة,baqarap,4,Noun
1005,بَل,bal,4,Inceptive particle
1006,تَقِيّ,taqiy~,4,Noun
1007,ثُبُور,vubuwr,4,Noun
1008,ثَقِيل,vaqiyl,4,Adjective
1009,ثَمّ,vam~,4,Location adverb
1010,جِهَاد,jihaAd,4,Noun
1011,جَهَٰلَة,jaha`lap,4,Noun
1012,جَوَاب,jawaAb,4,Noun
1013,جُوع,juwE,4,Noun
1014,حَاصِب,HaASib,4,Noun
1015,حِجْر,Hijor,4,Noun
1016,حَرْب,Harob,4,Noun
1017,حَصِيد,HaSiyd,4,Noun
1018,حَلِيم,Haliym,4,Noun
1019,حِلْيَة,Hiloyap,4,Noun
1020,حُور,Huwr,4,Noun
1021,حِين,Hiyn,4,Time adverb
1022,خَاوِيَة,xaAwiyap,4,Noun
1023,خَبِيثَة,xabiyvap,4,Noun
1024,خَزَنَت,xazanat,4,Noun
1025,خُضْر,xuDor,4,Noun
1026,خَلِيل,xaliyl,4,Noun
1027,دَأْب,da>ob,4,Noun
1028,دَابِر,daAbir,4,Noun
1029,دَٰخِرُون,da`xiruwn,4,Noun
1030,دَاعِى,daAEiY,4,Noun
1031,دَعْوَىٰ,daEowaY`,4,Noun
1032,ذُرِّيَّٰت,*ur~iy~a`t,4,Noun
1033,رَٰجِعُون,ra`jiEuwn,4,Noun
1034,رَّجْفَة,r~ajofap,4,Noun
1035,رَجِيم,rajiym,4,Adjective
1036,رَّحِيم,r~aHiym,4,Noun
1037,رِسَالَة,risaAlap,4,Noun
1038,زُخْرُف,zuxoruf,4,Noun
1039,زُلْفَىٰٓ,zulofaY`^,4,Noun
1040,زُّور,z~uwr,4,Noun
1041,سَاق,saAq,4,Noun
1042,سَبْعَة,saboEap,4,Noun
1043,سُّجُود,s~ujuwd,4,Noun
1044,سَدّ,sad~,4,Noun
1045,سِرَاج,siraAj,4,Noun
1046,سَفِينَة,safiynap,4,Noun
1047,سَقَر,saqar,4,Proper noun
1048,سَقْف,saqof,4,Noun
1049,سَمَّٰعُون,sam~a`Euwn,4,Noun
1050,سُّوق,s~uwq,4,Noun
1051,شَأْن,$a>on,4,Noun
1052,شَعَٰٓئِر,$aEa`^}ir,4,Noun
1053,شِفَآء,$ifaA^',4,Noun
1054,شِهَاب,$ihaAb,4,Noun
1055,صَٰحِبَة,Sa`Hibap,4,Noun
1056,صَبَّار,Sab~aAr,4,Adjective
1057,صُبْح,SuboH,4,Noun
1058,صَرْح,SaroH,4,Noun
1059,صَعِيد,SaEiyd,4,Noun
1060,صَلْصَٰل,SaloSa`l,4,Noun
1061,ضُحًى,DuHFY,4,Noun
1062,ضَعْف,DaEof,4,Noun
1063,ضِعْف,DiEof,4,Adjective
1064,طَآئِف,TaA^}if,4,Noun
1065,طَٰغِين,Ta`giyn,4,Noun
1066,طَرِيق,Tariyq,4,Noun
1067,طِفْل,Tifol,4,Noun
1068,طَلْع,TaloE,4,Noun
1069,طَمَع,TamaE,4,Noun
1070,طَوْع,TawoE,4,Noun
1071,ظَالِمَة,ZaAlimap,4,Noun
1072,ظَهِير,Zahiyr,4,Noun
1073,عَالِي,EaAliy,4,Noun
1074,عَجُوز,Eajuwz,4,Noun
1075,عَرْض,EaroD,4,Noun
1076,عَشَر,Ea$ar,4,Noun
1077,عُصْبَة,EuSobap,4,Noun
1078,عُقْدَة,Euqodap,4,Noun
1079,عَلَانِيَة,EalaAniyap,4,Noun
1080,عُلُوّ,Euluw~,4,Noun
1081,عَوْرَة,Eaworap,4,Noun
1082,غَمَٰم,gama`m,4,Noun
1083,غَنِىّ,ganiY~,4,Adjective
1084,غَيّ,gay~,4,Noun
1085,غُيُوب,guyuwb,4,Noun
1086,فَآئِزُون,faA^}izuwn,4,Noun
1087,فَخُور,faxuwr,4,Adjective
1088,فِرَار,firaAr,4,Noun
1089,فُسُوق,fusuwq,4,Noun
1090,قَآئِمَة,qaA^}imap,4,Noun
1091,قَٰرُون,qa`ruwn,4,Proper noun
1092,قُدُس,qudus,4,Noun
1093,قِصَاص,qiSaAS,4,Noun
1094,قَصْر,qaSor,4,Noun
1095,قُعُود,quEuwd,4,Noun
1096,قَلَم,qalam,4,Noun
1097,قِيل,qiyl,4,Noun
1098,كَرْب,karob,4,Noun
1099,كِسَف,kisaf,4,Noun
1100,كَفَّار,kaf~aAr,4,Adjective
1101,كَفَّٰرَة,kaf~a`rap,4,Noun
1102,كِفْل,kifol,4,Noun
1103,كَلَٰم,kala`m,4,Noun
1104,كَلِم,kalim,4,Noun
1105,لَطِيف,laTiyf,4,Adjective
1106,مُبْصِر,muboSir,4,Noun
1107,مُبْلِسُون,mubolisuwn,4,Noun
1108,مُّتَقَٰبِلِين,m~utaqa`biliyn,4,Noun
1109,مُتَوَكِّلُون,mutawak~iluwn,4,Noun
1110,مُجَٰهِدِين,muja`hidiyn,4,Noun
1111,مَّجِيد,m~ajiyd,4,Adjective
1112,مِحْرَاب,miHoraAb,4,Noun
1113,مُحَرَّم,muHar~am,4,Noun
1114,مَحْرُوم,maHoruwm,4,Noun
1115,مُحَمَّد,muHam~ad,4,Proper noun
1116,مُخَلَّفُون,muxal~afuwn,4,Noun
1117,مَدِينَة,madiynap,4,Proper noun
1118,مُرْسِل,murosil,4,Noun
1119,مَرْء,maro',4,Noun
1120,مُّسْتَضْعَفُون,m~usotaDoEafuwn,4,Noun
1121,مَّسْحُور,m~asoHuwr,4,Noun
1122,مِصْبَاح,miSobaAH,4,Noun
1123,مُصَدِّق,muSad~iq,4,Adjective
1124,مِصْر,miSor,4,Proper noun
1125,مُعَذِّب,muEa*~ib,4,Noun
1126,مُعَذَّبِين,muEa*~abiyn,4,Noun
1127,مَّعْرُوف,m~aEoruwf,4,Adjective
1128,مَغَانِم,magaAnim,4,Noun
1129,مُّغْرَقُون,m~ugoraquwn,4,Noun
1130,مُّقْتَدِر,m~uqotadir,4,Noun
1131,مَقْعَد,maqoEad,4,Noun
1132,مُّكْرَمُون,m~ukoramuwn,4,Noun
1133,مُّلَٰقُوا,m~ula`quwA,4,Noun
1134,مَلَكُوت,malakuwt,4,Noun
1135,مُمْتَرِين,mumotariyn,4,Noun
1136,مَمْنُون,mamonuwn,4,Noun
1137,مَنَام,manaAm,4,Noun
1138,مُّنتَصِر,m~untaSir,4,Noun
1139,مَنسَك,mansak,4,Noun
1140,مُّؤْمِنَٰت,m~u&omina`t,4,Adjective
1141,مُّؤْمِنَة,m~u&ominap,4,Adjective
1142,مَّيِّت,m~ay~it,4,Adjective
1143,مَّيْت,m~ayot,4,Adjective
1144,نَصَب,naSab,4,Noun
1145,نَعْجَة,naEojap,4,Noun
1146,نَعَم,naEam,4,Answer particle
1147,نَكِير,nakiyr,4,Noun
1148,هُنَا,hunaA,4,Demonstrative pronoun
1149,وَبَال,wabaAl,4,Noun
1150,وَقُود,waquwd,4,Noun
1151,يُونُس,yuwnus,4,Proper noun
1152,ءَامِن,'aAmin,4,Noun
1153,آثِم,A^vim,3,Noun
1154,آخِذ,A^xi*,3,Noun
1155,أَبْيَض,>aboyaD,3,Adjective
1156,أُجَاج,>ujaAj,3,Noun
1157,أَجْدَاث,>ajodaAv,3,Noun
1158,أَخْبَار,>axobaAr,3,Noun
1159,إِذَا,<i*aA,3,Surprise particle
1160,أَذْقَان,>a*oqaAn,3,Noun
1161,أَسْفَل,>asofal,3,Noun
1162,أُسْوَة,>usowap,3,Noun
1163,أَشَدّ,>a$ad~,3,Adjective
1164,أَشْقَى,>a$oqaY,3,Noun
1165,إِصْر,<iSor,3,Noun
1166,أَصْل,>aSol,3,Noun
1167,أَصِيل,>aSiyl,3,Noun
1168,إِطْعَٰم,<iToEa`m,3,Noun
1169,أَعَزّ,>aEaz~,3,Noun
1170,أَعْلَىٰ,>aEolaY`,3,Adjective
1171,أَعْمَىٰ,>aEomaY`,3,Adjective
1172,أُفّ,>uf~,3,Noun
1173,أُفُق,>ufuq,3,Noun
1174,إِلَّا,<il~aA,3,Particle of certainty
1175,إِلْيَاس,<iloyaAs,3,Proper noun
1176,أَوْتَاد,>awotaAd,3,Noun
1177,أَوْثَٰن,>awova`n,3,Noun
1178,إِيتَاءٌ,<iytaA'N,3,Noun
1179,أَيْمَن,>ayoman,3,Adjective
1180,أَيْن,>ayon,3,Conditional particle
1181,بَاطِن,baATin,3,Noun
1182,بَاغ,baAg,3,Noun
1183,بَرْزَخ,barozax,3,Noun
1184,بَرَكَٰت,baraka`t,3,Noun
1185,بُشْر,bu$or,3,Noun
1186,بَطْش,baTo$,3,Noun
1187,بَقَر,baqar,3,Noun
1188,بَقِيَّت,baqiy~at,3,Noun
1189,بَهِيمَة,bahiymap,3,Noun
1190,بَيَان,bayaAn,3,Noun
1191,تَابِع,taAbiE,3,Noun
1192,تَارِك,taArik,3,Noun
1193,تَحْت,taHot,3,Location adverb
1194,تَحْوِيل,taHowiyl,3,Noun
1195,تَسْلِيم,tasoliym,3,Noun
1196,تَضَرُّع,taDar~uE,3,Noun
1197,ثُلَّة,vul~ap,3,Noun
1198,ثَمَٰنِيَة,vama`niyap,3,Noun
1199,جَار,jaAr,3,Noun
1200,جَالُوت,jaAluwt,3,Proper noun
1201,جَامِع,jaAmiE,3,Noun
1202,جَٰهِلِيَّة,ja`hiliy~ap2,3,Proper noun
1203,جِبْرِيل,jiboriyl,3,Proper noun
1204,جِذْع,ji*oE,3,Noun
1205,جُزْء,juzo',3,Noun
1206,جَسَد,jasad,3,Noun
1207,جُنُب,junub,3,Noun
1208,جَهْرَة,jahorap,3,Noun
1209,جَيْب,jayob,3,Noun
1210,حَآقَّة,HaA^q~ap,3,Noun
1211,حَاجَة,HaAjap,3,Noun
1212,حَٰشِرِين,Ha`$iriyn,3,Noun
1213,حَدَآئِق,HadaA^}iq,3,Noun
1214,حِذْر,Hi*or,3,Noun
1215,حَرّ,Har~,3,Noun
1216,حَرِير,Hariyr,3,Noun
1217,حَزَن,Hazan,3,Noun
1218,حُسْبَان,HusobaAn,3,Noun
1219,حَسَنَٰت,Hasana`t,3,Noun
1220,حَسَنَة,Hasanap,3,Adjective
1221,حَسِيب,Hasiyb,3,Noun
1222,حُطَٰم,HuTa`m,3,Noun
1223,حِفْظ,HifoZ,3,Noun
1224,حَكَم,Hakam,3,Noun
1225,حَمَإ,Hama<,3,Noun
1226,حِمْل,Himol,3,Noun
1227,حَوْل,Hawol,3,Location adverb
1228,خَآئِف,xaA^}if,3,Noun
1229,خَآئِنِين,xaA^}iniyn,3,Noun
1230,خَارِج,xaArij,3,Noun
1231,خَٰلَٰت,xa`la`t,3,Noun
1232,خَسَار,xasaAr,3,Noun
1233,خُسْرَان,xusoraAn,3,Noun
1234,خَصْم,xaSom,3,Noun
1235,خِطَاب,xiTaAb,3,Noun
1236,خَمْسَة,xamosap,3,Noun
1237,دَآئِرَة,daA^}irap,3,Noun
1238,دَّاع,d~aAE,3,Noun
1239,دَكّ,dak~,3,Noun
1240,ذَآئِقَة,*aA^}iqap,3,Noun
1241,ذَرْع,*aroE,3,Noun
1242,ذُّلّ,*~ul~,3,Noun
1243,ذِّئْب,*~i}ob,3,Noun
1244,رَآدّ,raA^d~,3,Noun
1245,رَاغِب,raAgib,3,Noun
1246,رَبَّٰنِيِّن,rab~a`niy~in,3,Noun
1247,رَجْع,rajoE,3,Noun
1248,رَحْل,raHol,3,Noun
1249,رُّمَّان,r~um~aAn,3,Noun
1250,رُهْبَٰن,ruhoba`n,3,Noun
1251,رَهْط,rahoT,3,Noun
1252,رَّوْح,r~awoH,3,Noun
1253,رِئَآء,ri}aA^',3,Noun
1254,زَان,zaAn,3,Noun
1255,زَانِيَة,zaAniyap,3,Noun
1256,زَبَد,zabad,3,Noun
1257,زَبُور,zabuwr,3,Proper noun
1258,زَفِير,zafiyr,3,Noun
1259,زَقُّوم,zaq~uwm,3,Proper noun
1260,سَّارِق,s~aAriq,3,Noun
1261,سَافِل,saAfil,3,Noun
