surah_no,ref_ayah_no_surah,translator,kind,text
24,156,yusuf_ali,footnote,"* See notes 3039 and 3041 above. The refrain comes again, in a different form, closing the argument from a different point of view."
24,62,yusuf_ali,footnote,"* v.62 : Matter requiring collective action: anything that affects the Community as a whole: Jumu’a and ’Id prayers are periodical occasions of this kind, but what is meant here is, I think, joint consultations with a view to joint undertakings, such as a Jihad, or some kind of organisation in peace."
24,158,yusuf_ali,footnote,"* That is, those to whom, in the exercise of your impartial discretion, you think it expedient to give leave. ""Will"", unless the context shows otherwise, means ""right will"", not a will without any definite principle behind it."
24,159,yusuf_ali,footnote,"* In important matters of general consultation, even though leave of absence is given on sufficient excuse, it implies some defect in duty on the part of the person to whom the leave is given, and therefore the need of forgiveness from Him to Whom we owe duty in a perfect measure."
24,63,yusuf_ali,footnote,"* v.63 : Three significations are possible. One is that adopted in the Translation, which agrees with the view of most Commentators. Another would be: ’Do not think that the prayer of the Prophet of Allah is like your ordinary requests to another: the Prophet’s prayer will be about serious matters and will be accepted by Allah’. A third interpretation would be: ’Do not address the Prophet familiarly as you would address one another: use proper terms of respect for him.’"
24,161,yusuf_ali,footnote,"* The ""trial"" is understood to be some misfortune in this life, and the ""grievous Penalty"" to be the punishment in the Hereafter."
24,64,yusuf_ali,footnote,"* v.64 : The condition or position you are in, the motives which actuate you, and the ends you have in view."
24,163,yusuf_ali,footnote,"* Things misunderstood or maligned, falsely praised or held in honour, or fraudulently shown to be good when they are evil-everything will be revealed in its true light on the Day of final Judgment."
25,1,yusuf_ali,footnote,"* v.1 : Tabaraka: the root meaning is ""increase"" or ""abundance"". Here that aspect of Allah’s dealing with His creatures is emphasised, which shows Ms abundant goodness to all His creatures, in that He sent the Revelation of His Will, not only in the unlimited Book of Nature, but in a definite Book in human language, which gives clear directions and admonitions to all. The English word ""blessed"" hardly conveys that meaning, but I can find no other without departing far from established usage. To emphasise the meaning I have explained, I have translated ""Blessed is ...... but ""Blessed be..."" is also admissible, as it brings out another shade of meaning, that we praise and bless His holy name."
25,79,yusuf_ali,footnote,"* That by which we can judge clearly between right and wrong. Here the reference is to the Qur-an, which has already been symbolised by light. This symbol is continued here, and many contrasts are shown, in the midst of which we can distinguish between the true and the false by Allah’s Light, especially the contrast between righteousness and sin."
25,80,yusuf_ali,footnote,* The pronoun in yakuna may refer either to Furqan (the Criterion) or to ’Abd (the holy Prophet). In either case the ultimate meaning is the same. The Qur-An is the standing Criterion for judgment between right and wrong.
25,2,yusuf_ali,footnote,* v.2 : The majesty of Allah and His independence of all wants or help are mentioned to show how exceedingly great is His goodness in revealing I-Iis Will to us.
25,3,yusuf_ali,footnote,"* v.3 : This is the first great distinction taught by the Criterion; to know the attributes of the true God, as against the false fancies of men."
25,4,yusuf_ali,footnote,"* v.4 : Ifk, which I have translated a ""lie"" may be distinguished from zur at the end of this verse, translated ""falsehood"". The ""lie"" which the enemies attributed to the holy Prophet of Allah was supposed to be something which did not exist in reality, but was invented by him with the aid of other people: the implication was that (1) the Revelation was not a revelation but a forgery, and that (2) the things revealed e.g. the news of the Hereafter, the Resurrection, the Judgment, the Bliss of the Righteous and the sufferings of the Evil, were fanciful and had no basis in fact. Delusion is also suggested. The reply is that, so far from that being the case, the facts were true and the charges were false (zar),-the falsehood being due to the habits of iniquity for which the Misbelievers’ whole mental and spiritual attitude was responsible."
25,5,yusuf_ali,footnote,"* v.5 : In their misguided arrogance they say: ’We have heard such things before; they are pretty tales which have come down from ancient times; they are good for amusement, but who takes them seriously?’ When the beauty and power of the Revelation are pointed out, and its miracle as coming from an unleamed man, they again hint at other men who wrote them, though they could not produce any one who could write anything like it."
25,6,yusuf_ali,footnote,"* v.6 : The answer is that the Qur-in teaches spiritual knowledge of what is ordinarily hidden from men’s sight, and such knowledge can only come from Allah, to Whom alone is known the secret of the whole Creation. In spite of man’s sin and shortcomings, He forgives, and He sends His most precious gift, i.e., the revelation of His Will."
25,7,yusuf_ali,footnote,"* v.7 : This is another objection: ’He is only a man like us: why is not an angel sent down, if not by himself, at least with him?’ The answer is: angels would be of no use to men as Messengers, as they and men would not understand each other, and if angels came, it might cause more confusion and wonder than understanding in men’s minds. Cf. xxi. 7-8; xxvii, 94-95. The office of an angel is different. A teacher for mankind is one who shares their nature, mingles in their life, is acquainted with their doings, and sympathises with their joys and sorrows."
25,8,yusuf_ali,footnote,"* v.8 : Literally, ’that he may eat out of it’. As shown in n. 776 to v. 69, akala (to eat) has a comrpehensive meaning, implying enjoyment of all kinds. Here the garden itself stands for a type of the amenities of life: its fruits would be available for eating, its coolness for rest and refreshment, its waters and its landscape for aesthetic delight."
25,88,yusuf_ali,footnote,"* Cf. xvii. 47. This speech, of the wicked or the ungodly, is meant to be even more bitter than that of the Misbelievers. It makes out the Prophet to be a demented fool!"
25,9,yusuf_ali,footnote,"* v.9 : The charges the enemies made against the Messenger of Allah recoiled on those who made them. The Messenger was vindicated, and went from strength to strength, for Allah’s Truth will always prevail. The men who perversely leave the way of truth, righteousness, and sincerity, have not only missed the Way, but on account of their perversity they will never be able to find any way by which they can get back to Truth."
25,10,yusuf_ali,footnote,"* v.10 : Cf. above, xxv. 1. The reminiscent phrase shows that the first argument, about the Revelation and Prophethood, is completed, and we now pass on to the contrast, the fate of the rejecters of both."
25,1,yusuf_ali,footnote,"* Cf. above, xxv. 1. The reminiscent phrase shows that the first argument, about the Revelation and Prophethood, is completed, and we now pass on to the contrast, the fate of the rejecters of both."
25,11,yusuf_ali,footnote,"* v.11 : Denying the Hour of Judgment means denying the power of Justice and Truth to triumph; it means asserting the dominion of Evil. But Allah himself will punish them, as shown in the following verses."
25,12,yusuf_ali,footnote,"* v.12 : For zafir, a deep emission of breath or a sigh, see n. 1607 to xi. 106. Here the Fire is personified. It is raging with hunger and fury, and as soon as it sees them from ever so far, it emits a sigh of desire. Till then they had not realised their full danger. Now, just as their heart begins to tremble with terror, they are bound together-like with like,-and cast into the roaring flames!"
25,13,yusuf_ali,footnote,"* v.13 : Anything-total annihilation-would be better than the anguish they will suffer. But no annihilation will be granted to them. One destruction will not be enough to wipe out the intensity of their anguish. They will have to ask for many destructions, but they will not get them!"
25,15,yusuf_ali,footnote,"* v.15 : Shifting the scene back to this life, they may fairly be asked: ""Here is the result of the two courses of conduct: which do you prefer?"""
25,96,yusuf_ali,footnote,"* To the righteous, the final Bliss will in one sense be a reward. But the word ""reward"" does not truly represent facts, for two reasons: (1) the Bliss will be greater than they deserved; and (2) righteousness is its own reward. The best way of expressing the result would be to say that their highest Wish will now have been attained; the goal will have been reached; they will be in Allah’s Presence. That is salvation in the highest."
25,16,yusuf_ali,footnote,"* v.16 : That is the sort of thing-to be prayed for from Allah which he has made binding upon Himself and not ephemeral things, even though they may be good. And that is the sort of thing that Allah has promised and undertaken to give."
25,17,yusuf_ali,footnote,"* v.17 : The question is as in a Court of Justice, to convince those who stand arraigned."
25,18,yusuf_ali,footnote,"* v.18 : The creatures of Allah who were worshipped will prove that they never asked for worship : on the contrary they themselves worshipped Allah and sought the protection of Allah and of none but Allah. Cf. xlvi. 5-6. They will go further and show that the false worshippers added ingratitude to their other sins: for Allah bestowed abundance on them, and they blasphemed against Allah. They were indeed ""worthless and destroyed"", for the word bar bears both significations."
25,19,yusuf_ali,footnote,"* v.19 : The argument is as in a court of justice. If the false worshippers plead that they were misled by those whom they falsely worshipped, the latter will be confronted with them and will prove that plea to be false. No help can be got from them, and the penalty cannot then be averted. After all these things are thus explained in detail beforehand, all ungodly men should repent and tum to Allah. False worship is here indentified with sin, for sin is disobedience to Allah, and arises from a wrong appreciation of Allah’s attributes and His goodness to His creatures. The sinful man refuses, in his conduct, to serve Allah: he serves other things than Allah."
25,20,yusuf_ali,footnote,"* v.20 : Cf. above, xxv. 7."
25,102,yusuf_ali,footnote,"* In Allah’s universal Plan, each unit or thing serves a purpose. If some are rich, the poor should not envy them: it may be that the rich man’s proximity is itself a trial of their virtue. If some are poor, the righteous rich should not despise or neglect them: it may be that their coming within their sight is a trial for the real feeling of charity or brotherly love in the rich. If A is bad-tempered or persecutes or ill-uses B, it may be an opportunity for B to show his patience or humility or his faith in the ultimate prevalence of justice and truth. Whatever our experiences with other human beings may be, we must make them subserve the ends of our spiritual improvement and perhaps theirs also."
25,21,yusuf_ali,footnote,* v.21 : The blasphemers who have given up all Faith and laugh at the Hereafter: nothing is sacred to them: their arrogance and insolence are beyond all bounds.
25,104,yusuf_ali,footnote,"* Cf. ii. 55. The Israelites in the time of Moses demanded to see Allah. But they were struck with thunder and lightning even as they looked on. Indeed death would have been their fate, had it not been for the mercy of Allah."
25,22,yusuf_ali,footnote,* v.22 : They will not be allowed to enjoy any of the felicity or peace which will be the normal state of the new world of Reality. Their own past will stand as a barrier to shut them off .
25,23,yusuf_ali,footnote,"* v.23 : The false hopes they built on in this life, and the deeds did under the shadow of such false hopes will be dissipated as if they were dust flying about in the wind. They will have no value whatever."
25,24,yusuf_ali,footnote,"* v.24 : The barrier which will shut out the evil ones will not exist for the righteous, who will have an abode of bliss and repose, for they will be in the Garden of bliss."
25,25,yusuf_ali,footnote,"* v.25 : It will be a new world, and the way to describe it must necessarily draw upon our present experience of the finest things in nature. The sky, which now appears remote and unpeopled will be rent asunder. There will appear clouds of glory-angels and spiritual Lights of all grades and ranks-and the true majesty and goodness of Allah will be visible as it should be in reality, and as it is not now, on account of ""our muddy vesture of decay""."
25,26,yusuf_ali,footnote,* v.26 : See last note.
25,27,yusuf_ali,footnote,"* v.27 : The words are general, and for us the interest is in a general sense. A man who actually receives the Truth and is on the right path is all the more culpable if he is diverted from that path by the machinations of a worldly friend. The particular person whom some Commentators mention in this connection was one ’Uqba who received the light of Islam, but was misled afterwards by a worldly friend into apostasy and blasphemy. He came to an evil end afterwards."
25,29,yusuf_ali,footnote,* v.29 : The seductive wiles of the Satan are merely meant for snares. There is fraud and treachery in them. The deceived ones are left in the lurch after the way of escape is made impossible for them.
25,30,yusuf_ali,footnote,"* v.30 : ""My people"" are of course the unbelieving Quraish. They treated the Qur-fin with neglect, i.e., something to be discarded. But they were only a handful of people whose vested interests were touched by the beneficent reforms initiated by Islam. They soon passed away, and all Arabic-speaking or Arabic-understanding people have considered the Qur-an as a treasury of Truths expressed in the most beautiful possible language, with a meaning that grows deeper with research."
25,31,yusuf_ali,footnote,"* v.31 : It is the nature of sin to be hostile to truth and righteousness, but such hostility will not harm the righteous and need cause no misgiving because Allah will guide and help those who work in His cause. And what could he better or more effective than His guidance and help?"
25,32,yusuf_ali,footnote,"* v.32 : Three reasons are given for the gradual revelation of the Qur-an. (1) ""To strengthen thy heart"": the tremendous task of winning the Arab nation, and, through them, the whole world, to Islam, required superhuman patience, constancy, and firmness, and these qualities were strengthened by the gradual promulgation of solutions to each difficulty as it arose. (2) ""Slow, well-arranged stages"": though the stages were gradual, as the occasion demanded from time to time, in the course of twenty-three years, the whole emerged, when completed, as a well-arranged scheme of spiritual instruction, as we have seen in following the arrangement of the Suras. (3) Questions put and answers given: see next note."
25,33,yusuf_ali,footnote,"* v.33 : Divine knowledge is a fathomless ocean. But glimpses of it can be obtained by any individuals sincerely searching for the Truth. Their progress will be in grades. If they ask questions, and answers are then furnished to them, they are more likely to apprehend the Truth, as they have already explored the part of the territory in which they are interested. In the same way, when concrete questions arise by the logic of events, and they are answered not only for the occasion, but from a general stand-point, the teaching has a far greater chance of penetrating the human intelligence and taking shape in practical conduct. And this is the usual way of instruction in the Our-an."
25,34,yusuf_ali,footnote,"* v.34 : That is, in ignominy."
25,24,yusuf_ali,footnote,"* This verse may be compared and contrasted with xxv. 24 above. Here the argument is rounded off about the distinction between the Good and Evil in their final Destiny. The Good are to have ""the fairest of places for repose"", and in contrast, the Evil are, ""as to Path, most astray"". They have no repose, and their wanderings lead nowhere."
25,35,yusuf_ali,footnote,"* v.35 : Cf. xx. 29, and the whole passage there, which is merely referred to here, to show how previous Prophets were treated, but how they stuck fast to the Criterion given, to distinguish between Good and Evil."
25,37,yusuf_ali,footnote,"* v.37 : The stories of Noah, of the prophets of ’Ad and Thamud (and of other prophets), in the reactions of their communities to their teaching are told in xxvi. 105-159, below. Here they are just mentioned to illustrate how little respect past ages had for their prophets and teachers of Truth. But Allah’s Truth did not suffer: it was the blind rejecters of spiritual Truth who were wiped out."
25,38,yusuf_ali,footnote,"* v.38 : Commentators are not clear as to who the ""Companions of the Rass"" were. The root meaning of ""rass"" is an old well or shallow water-pit. Another root connects it with the burial of the dead. But it is probably the name of a town or place. The ""Companions of the Rass"" may well have been the people of Shu’aib, as they are here mentioned with the ’Ad, the Thamud, and Lot’s people, and the people of Shu’aib are mentioned in a similar connection in xxvi. 176-190 and in xi. 84-95. Shu’aib was the prophet of the Madyan people in the north-west of Arabia, where many old wells are found. There is however an oasis town al-Rass in the district of Qasim in Middle Najd, about thirty-five miles south-west of the town of ’Unaiza, reputed to be the central point of the Arabian Peninsula, and situated midway between Makkah and Basra. See Doughly’s Arabia Deserts, thin-paper one-volume edition, London 1926, 11, 435 and Map, Lat. 26*N., and Long. 43*E."
25,40,yusuf_ali,footnote,"* v.40 : This refers to Lut’s story and the destruction of Sodom and Gomorrah, the wicked cities of the plain near the Dead Sea, by a shower of brimstone. The site lies on the highway between Arabia and Syria. Cf. xv. 74, 76, and n. 1998."
25,42,yusuf_ali,footnote,"* v.42 : ""Path"" (Sabil) is almost equivalent here to conduct, way of life."
25,43,yusuf_ali,footnote,"* v.43 : The man who worships his own passions or impulses or desires is the most hopeless to teach or lead or guide. If it were anything else the matter with him, the Prophet could argue with him. But Reason cannot prevail over blind passion. It is vain to hope that such a man could be led, until his mad desires are killed. No one could undertake any responsibility for him, for he obeys no law and follows no advice. He is worse than brute beasts, which may not understand, but at least follow the wholesome instincts implanted in them by Allah. ne lawless man has killed his instincts and is unwilling to submit to guidance."
25,45,yusuf_ali,footnote,"* v.45 : We saw in xxiv. 35 that Allah is the Light of the heavens and the earth. We have now another sublime passage, in which we are asked to contemplate the Glory of Allah by a parable of the subtle play of Light and Shade in Allah’s creation."
25,125,yusuf_ali,footnote,"* In our artificial fife and surroundings we fail to see some of the finest mysteries of Light and Shade. We praise, and rightly, the wonderful colors of sunset. We see, particularly in climates more northerly than that of India, the subtle play of Light and Shade in the twilights succeeding sunsets. If we were as assiduous in seeing sunrises and the play of Light and Shade preceding them, we should see phenomena even more impressive, as the early moming seems to us more holy than any other time in the twenty- four hours of the sun’s daily journey. There is first the false dawn, with its curious uncertain light and the curious long uncertain shadows which it casts. Then there are the streaks of black in the East, succeeded by the true dawn, with its delicate tones of colours and light and shade. The fight of this true or false Dawn is not given by the direct rays of the sun. In a sense it is not light, but the shadows or reflections of light. And they gradually merge into actual sunrise, with its more substantial or more defined shadows, which we r-an definitely connect with the sun."
25,126,yusuf_ali,footnote,"* The moming shadows are long but more definite, and their length and direction are seen to be guided by the sun. But they change insensibly every second or fraction of a second."
25,46,yusuf_ali,footnote,"* v.46 : As the sun rises higher and higher, the shadows contract. In regions where the sun gets actually to the zenith at noon, there is no shadow left at that time. Where does it go to? It was but a shadow cast by a substance and it gets absorbed by the substance which produced it."
25,128,yusuf_ali,footnote,"* The shadows are constantly in a state of flux; so are all things in Creation, all things we see or covet in this life. Allah, if He wills, can give some of them greater fixity or comparative stability."
25,47,yusuf_ali,footnote,"* v.47 : It is still the contrast between Light and Shade; but the shade of Night is as a Robe to cover and screen us and give us Repose from activity; and the Light of Day is for striving, work, activity. Or again, the Night is like Death, our temporary Death before Judgment, the time during which our senses are as sealed in Sleep; and the Day is like the renewal of Life at the Resurrection."
25,48,yusuf_ali,footnote,"* v.48 : Cf. vii. 57. The Winds are heralds of Joy, ushering in Rain, which is one form of Allah’s Mercy. Again, the symbolism presents a fresh point of view. Heat (which is connected with light) sets up currents in the atmosphere, besides sucking up moisture from the seas, and distributing it by means of Winds over wide surfaces of the earth. In the physical world we know the beneficent action of heat on life, and by contrast, we also know how intolerable high temperatures may become, and how the cloud-bearing Winds come as welcome heralds of rain."
25,131,yusuf_ali,footnote,"* Rain water (in pure air) is not only pure water distilled in air and sky, but it is the best purifying and sanitating agent on the largest scale known to US."
25,49,yusuf_ali,footnote,"* v.49 : The whole cycle of water,-sea, clouds, rain or hail or snow, rivers, and sea again,-is a remarkable illustration of the processes of nature making Allah’s providence visible to us. The salts of the sea sanitate and purify all the filth that pours into it. Water action, in the form of rain, frost, glaciers, rivers, lakes, etc., is responsible for the building up and configuration of the crust of the earth, and is the chief agent in physical geography. A parched desert quickly comes to life under the action of water. All drinking water, whether derived from rivers, canals, lakes, reservoirs, springs, wells, or water- works of any kind, are ultimately traceable to rain. The connection of life with water is intimate. The physical basis of life itself, protoplasm, is in great part water; see xxv. 54 below."
25,50,yusuf_ali,footnote,"* v.50 : The water is distributed all over the world, in order that all life may receive its support according to its needs. In xxv. 48-50, we have the argument of contrasts stated in another way. Water is life, and is made available to sustain life all over the world; this is a physical fact which all can see. But water is also the symbol of spiritual life, whose sustaining principle is the Will of Allah as made known to us through Revelation. It sometimes comes to us in our inward or spiritual storms. Many violent unsettlements of the spirit are but heralds of the refreshing showers of spiritual understanding that come in their wake. They purify our souls, and produce spiritual Life even where there was a parched spiritual desert before. They continue to sustain us in our normal spiritual Life out of the reservoirs of Allah’s Revelation, which are open to all, and well distributed in time and space. The universality of distribution is again referred to in the following verse."
25,134,yusuf_ali,footnote,* In contrast to Allah’s abounding Mercy is man’s base ingratitude.
25,51,yusuf_ali,footnote,"* v.51 : Allah’s Message has been distributed to all nations. If it had been necessary, a Prophet could have been sent to every town and village. But Allah’s Plan is different. He has sent His Light to every heart, through Ms Signs in man’s conscience, in Nature, and in Revelation."
25,52,yusuf_ali,footnote,"* v.52 : The distribution of Allah’s Signs being universal, the Prophet of Allah pays no heed to carping critics who reject Faith. He wages the biggest Jihid of all, with the weapon of Allah’s Revelation,"
25,53,yusuf_ali,footnote,"* v.53 : Maraja: literally, let free or let loose cattle for grazing. Bahrain: two seas, or two bodies of flowing water; for bahr is applied both to the salt sea and to rivers. In the world taken as a whole, there are two bodies of water, viz.,: (1) the great salt Ocean, and (2) the bodies of sweet water fed by rain, whether they are rivers, lakes or underground springs: their source in rain makes them one, and their drainage, whether above-ground or underground, eventually to the Ocean, also makes them one. They are free to mingle, and in a sense they do mingle, for there is a regular water-cycle: see n. 3106 above: and the rivers flow constantly to the sea, and tidal rivers get sea-water for several miles up their estuaries at high tide. Yet in spite of all this, the laws of gravitation are like a barrier or partition set by Allah, by which the two bodies of water as a whole are always kept apart and distinct. In the case of rivers carrying large quantities of water to the sea, like the Mississippi or the Yangtse-Kiang, the river-water with its silt remains distinct from sea-water for a long distance out at sea. But the wonderful Sign is that the two bodies of water, though they pass through each other, remain distinct bodies, with their distinct functions."
25,138,yusuf_ali,footnote,"* In Allah’s overall scheme of things, bodies of salt and sweet water, which are adjoining and yet separate, have significant functions. Weaving a harmonious fabric out of these different fibres shows both Allah’s power and wisdom. Incidentally, this verse points to a fact which has only recently been discovered by science. This fact relates to the oceans of the world: they meet and yet each remains separate for Allah has placed ""a barrier, a partition"" between them."
25,54,yusuf_ali,footnote,"* v.54 : The basis of all living matter in the physical world, protoplasm, is water: Cf. xxiv. 45 and xxi. 30, and notes thereon."
25,140,yusuf_ali,footnote,"* Water is a fluid, unstable thing: yet from it arises the highest form of life known to us, in this world, man. And man has not only the functions and characteristics of the noblest animals, but his abstract relationships are also typical of his highest nature. He can trace lineage and pedigree, and thus remember and commemorate a long line of ancestors, to whom he is bound by ties of piety, which no mere animals can do. Further, there is the union in marriage: it is not only like the physical union of animals, but it gives rise to relationships arising out of the sexes of individuals who were not otherwise related to each other. These are physical and social facts."
25,55,yusuf_ali,footnote,"* v.55 : Here is the highest contrast of all-material things which are inert, and Allah, Whose goodness and power are supreme; Faith and Unfaith, meriting glad tidings and admonition; the selfish man who is self-centred, and the man of God, who works for others without reward."
25,58,yusuf_ali,footnote,"* v.58 : Allah knows our faults better than we or anyone else. It is no use hiding anything from Him. We must put our trust completely in Him. His care is for all, and He is Allah Most Gracious."
25,59,yusuf_ali,footnote,* v.59 : Cf. vii. 54 and n. 1031.
25,144,yusuf_ali,footnote,* See n. 1386 to x. 3.
25,145,yusuf_ali,footnote,"* The argument is about the question, in whom shall we put our trust? Worldly men put their trust in wordly things: the righteous man only in Allah. The true distinction will be quite clear from a ray of divine knowledge. If you do not see it all clearly, ask of those who possess such knowledge."
25,60,yusuf_ali,footnote,"* v.60 : Those who have no spiritual Light cannot understand this precept about putting all our trust in Allah. It seems to them foolish. They have no faith, or but a superficial faith. They may possibly take the name of Allah on their lips, but they cannot understand the full significance of His title of Rahman (Most Gracious). Perhaps they are afraid on account of their sins; perhaps they do not see how unbounded is the mercy of Allah. Such men are contrasted against the true servants of Allah, who are described below in xxv. 63-75."
25,61,yusuf_ali,footnote,"* v.61 : The glorious Lamp of the skies is the Sun; and next to him is the Moon, which gives borrowed light. The Constellations of course include the Signs of the Zodiac, which mark the path of the planets in the heavens."
25,62,yusuf_ali,footnote,"* v.62 : The scenes of the phenomenal world are Signs of the Self-Revelation of Allah, for those who understand and who have the will to merge their wills in His. This they do (1) by praising Him, which means understanding something of His nature, and (2) by gratitude to Him, which means carrying out His Will, and doing good to their fellow- creatures. These two attitudes of mind and heart give rise to various consequences in their lives, which are detailed in the following verse."
25,63,yusuf_ali,footnote,"* v.63 : Ignorant: in a moral sense. Address: in the aggressive sense. Their humility is shown in two ways: (1) to those in real search of knowledge, they give such knowledge as they have and as the recipients can assimilate; (2) to those who merely dispute, they do not speak harshly, but say ""Peace!"", as much as to say, ""May it be well with you, may you repent and be better""; or ""May Allah give me peace from such wrangling""; or ""Peace, and Good-bye; let me leave you!"""
25,64,yusuf_ali,footnote,* v.64 : Humble prayer brings them nearer to Allah.
25,65,yusuf_ali,footnote,"* v.65 : This is a prayer of humility: such a person relies, not on any good works which he may have done, but on the Grace and Mercy of Allah; and he shows a lively sense of the Day of Judgment, when every action will weigh for or against a soul."
25,66,yusuf_ali,footnote,"* v.66 : The misery which results from sin is not only grievous to live in (""an abode"") but also grievous ""to rest in"" or ""to stand in"", if it be only for a short time."
25,67,yusuf_ali,footnote,"* v.67 : In ordinary spending this is a wise rule. But even in charity, in which we give of our best, it is not expected that we should be extravagant, i.e., that we should either do it for show, to impress other people, or do it thoughtlessly, which would be the case if we ""rob Peter to pay Paul"". We should certainly not be niggardly, but we should remember everyone’s rights, including our own, and strike a perfectly just balance between them."
25,68,yusuf_ali,footnote,"* v.68 : Here three things are expressly condemned: (1) false worship, which is a crime against Allah; (2) the taking of life, which is a crime against our fellow-creatures; and (3) fornication, which is a crime against our self-respect, against ourselves. Every crime is against Allah, His creatures, and ourselves, but some may be viewed more in relation to one than to another. The prohibition against taking life is qualified: ""except for just cause,"": e.g., in judicial punishment for murder, or in self-preservation, which may include not only self-defence in the legal sense, but also the clearing out of pests, and the provision of meat under conditions of Halal.- see n. 698 to v. 5. After this comes a long parenthesis, which ends with verse 71 below."
25,69,yusuf_ali,footnote,"* v.69 : The three crimes just mentioned are specially detestable and infamous, and as ignominy will be added to other punishments, the penalty will be double that of ordinary punishment."
25,70,yusuf_ali,footnote,"* v.70 : But even in the case of great crimes, if there is true repentance as tested by a changed fife in conduct, Allah’s Mercy is available, and it will transform the repentant’s nature from evil to good."
25,72,yusuf_ali,footnote,"* v.72 : Witness no falsehood has two significations, both implied in this passage: (1) those who give no evidence that is false; and (2) those who do not assist at anything which implies fraud or falsehood."
25,158,yusuf_ali,footnote,"* There is not only condemnation of positive falsehood or of being mixed up with things implying falsehood; but futilities-vain random talk, unedifying jokes, useless show, etc.-are all condemned. If a good man finds himself in such an affair, he must withdraw from it in an honourable, dignified way, not in a fussy arrogant way."
25,73,yusuf_ali,footnote,"* v.73 : Kharra may mean: to fall down, to snore, to droop down as if the person were bored or inattentive, or did not wish to see or hear or pay attention."
25,74,yusuf_ali,footnote,"* v.74 : We must also pray for the maintenance of Allah’s Law after us, through our wives and descendants: in our eyes they should not be mere accidents or play-things, but a real comfort and fulfilment of our spiritual longings. Perhaps, through them, as well through ourselves, we may, by Allah’s grace, be able to give a lead for truth and righteousness."
25,161,yusuf_ali,footnote,"* Let us recapitulate the virtues of the true servants of Allah: (1) they are humble and forbearing to those below them in spiritual worth; (2) they are constantly, by adoration, in touch with Allah; (3) they always remember the Judgment in the Hereafter; (4) they are moderate in all things; (5) they avoid treason to Allah, to their fellow-creatures, and to themselves; (6) they give a wide berth not only to falsehood but to futility; (7) they pay attention, both in mind and manner, to the Signs of their Lord; (8) their ambition is to bring up their families in righteousness and to lead in all good. A fine code of individual and social ethics, a ladder of spiritual development, open to all."
25,77,yusuf_ali,footnote,"* v.77 : Let not the wicked think that it causes Allah any annoyance or uneasiness if they do not serve or worship Him. He is high above all needs. But He turns in His Mercy to all who call on Him. For those who arrogantly reject Him, the evil consequences of their rejection are inevitable, and must soon come to pass."
26,176,yusuf_ali,footnote,* v.176: See n. 2000 to xv. 78.
26,196,yusuf_ali,footnote,"* v.196: The word Zubur, used here, is plural of Zabar, which is mentioned in the Qur-in as the Book revealed to the prophet Da’ud. It has also been used in the Qur-in in generic sense of ""Book"" (LIV: 52). Here the word refers to the earlier Revelations."
26,1,yusuf_ali,footnote,"* v.1 : ’Ibis is a combination of three Abbreviated Letters, as to which, generally, see Appendix 1, printed at the end of S.ii."
26,2,yusuf_ali,footnote,"* v.2 : Cf. v. 17, and n. 716. The comparison of Allah’s revelation with Light is continued."
26,3,yusuf_ali,footnote,"* v.3 : ""They"" are the Pagans of Makkah. From a human point of view it was a great disappointment to Allah’s Messenger in the middle period of his Makkan ministry that the Makkan could not be brought to believe in the Truth."
26,4,yusuf_ali,footnote,"* v.4 : If it had been Allah’s Will and Plan to force people’s will, He could quite easily have forced the Makkans. But His Will and Plan work differently. His revelation is meant to train man’s own will so that it conforms to Allah’s beneficent purpose."
26,6,yusuf_ali,footnote,"* v.6 : They may laugh at Allah’s Message of righteousness, but they will soon see the power of Truth and realise the real significance of the movement which they opposed. Where were the Pagans of Makkah after Badr, and still more, after the bloodless surrender of Makkah? And the meaning may be applied universally in all history."
26,7,yusuf_ali,footnote,"* v.7 : If evil has a little run in this life, let them not run away with the notion that the world is for evil. They have only to look round at the physical and moral world around them, and they would be undeceived. But they are blind and without the Faith (the Light) which would open their eyes."
26,9,yusuf_ali,footnote,* v.9 : One Who is able to carry out all His Will and Plans. See n. 2818 to xxii. 40.
26,10,yusuf_ali,footnote,"* v.10 : The part of the story of Moses told here is how Moses felt diffident about undertaking his commission; how Allah reassured him; how he went to Pharaoh with ""the Signs""; how Pharaoh and his people rejected him; how their blasphemy recoiled on themselves, but the cause of Allah triumphed; in other words the point here is the reaction of a wicked people to the light that was held up to them, considered in its relation to the mind of Allah’s Messenger."
26,13,yusuf_ali,footnote,"* v.13 : As we should say in English, ""My heart would fail me, and my tongue cleave to my mouth."" Moses had an impediment in his speech, and his mission was risky: see next note. But Allah’s Plan works in wondrous ways. Aaron was given to assist him in his mission, and Moses’s shortcomings were transformed by Allah’s grace into power, so that he became the most powerful leader of Israel."
26,14,yusuf_ali,footnote,"* v.14 : Moses was brought up in the palace of Pharaoh, as narrated in his personal story in xx. 3940 and n. 2563. When he was grown-up he saw an Egyptian smiling an Israelite, and as the Israelites were being generally oppressed by the Egyptians, Moses’s anger was roused, and he slew the Egyptian. He then fled to the Midianite country in the Sinai peninsula, where he received the divine commission. But the charge of slaying the Egyptian was hanging against him. He was also apparently quick-tempered. But Allah’s grace cured his temper and he became wise; his impediment in speech, for he stood up boldly to speak to Pharaoh; and his fear, for he dared the Egyptians with Allah’s Signs, and they were afraid of him."
