ayah_no_quran,surah_no,ayah_no_surah,surah_name_en,surah_name_ar,surah_name_roman,ayah_ar,juz_no,ruko_no,sajdah_no,place_of_revelation,no_of_word_ayah
2982,26,50,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ لَا ضَيْرَ ۖ إِنَّآ إِلَىٰ رَبِّنَا مُنقَلِبُونَ,19,318,NA,Meccan,8
2983,26,51,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّا نَطْمَعُ أَن يَغْفِرَ لَنَا رَبُّنَا خَطَٰيَٰنَآ أَن كُنَّآ أَوَّلَ ٱلْمُؤْمِنِينَ,19,318,NA,Meccan,11
2984,26,52,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,۞ وَأَوْحَيْنَآ إِلَىٰ مُوسَىٰٓ أَنْ أَسْرِ بِعِبَادِىٓ إِنَّكُم مُّتَّبَعُونَ,19,318,NA,Meccan,9
2985,26,53,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَرْسَلَ فِرْعَوْنُ فِى ٱلْمَدَآئِنِ حَٰشِرِينَ,19,319,NA,Meccan,5
2986,26,54,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّ هَٰٓؤُلَآءِ لَشِرْذِمَةٌۭ قَلِيلُونَ,19,319,NA,Meccan,4
2987,26,55,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّهُمْ لَنَا لَغَآئِظُونَ,19,319,NA,Meccan,3
2988,26,56,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّا لَجَمِيعٌ حَٰذِرُونَ,19,319,NA,Meccan,3
2989,26,57,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَخْرَجْنَٰهُم مِّن جَنَّٰتٍۢ وَعُيُونٍۢ,19,319,NA,Meccan,4
2990,26,58,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَكُنُوزٍۢ وَمَقَامٍۢ كَرِيمٍۢ,19,319,NA,Meccan,3
2991,26,59,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,كَذَٰلِكَ وَأَوْرَثْنَٰهَا بَنِىٓ إِسْرَٰٓءِيلَ,19,319,NA,Meccan,4
2992,26,60,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَتْبَعُوهُم مُّشْرِقِينَ,19,319,NA,Meccan,2
2993,26,61,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَلَمَّا تَرَٰٓءَا ٱلْجَمْعَانِ قَالَ أَصْحَٰبُ مُوسَىٰٓ إِنَّا لَمُدْرَكُونَ,19,319,NA,Meccan,8
2994,26,62,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ كَلَّآ ۖ إِنَّ مَعِىَ رَبِّى سَيَهْدِينِ,19,319,NA,Meccan,7
2995,26,63,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَوْحَيْنَآ إِلَىٰ مُوسَىٰٓ أَنِ ٱضْرِب بِّعَصَاكَ ٱلْبَحْرَ ۖ فَٱنفَلَقَ فَكَانَ كُلُّ فِرْقٍۢ كَٱلطَّوْدِ ٱلْعَظِيمِ,19,319,NA,Meccan,14
2996,26,64,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَأَزْلَفْنَا ثَمَّ ٱلْءَاخَرِينَ,19,319,NA,Meccan,3
2997,26,65,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَأَنجَيْنَا مُوسَىٰ وَمَن مَّعَهُۥٓ أَجْمَعِينَ,19,319,NA,Meccan,5
2998,26,66,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,ثُمَّ أَغْرَقْنَا ٱلْءَاخَرِينَ,19,319,NA,Meccan,3
2999,26,67,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,319,NA,Meccan,9
3000,26,68,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,19,319,NA,Meccan,5
3001,26,69,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱتْلُ عَلَيْهِمْ نَبَأَ إِبْرَٰهِيمَ,19,319,NA,Meccan,4
3002,26,70,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ قَالَ لِأَبِيهِ وَقَوْمِهِۦ مَا تَعْبُدُونَ,19,320,NA,Meccan,6
3003,26,71,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ نَعْبُدُ أَصْنَامًۭا فَنَظَلُّ لَهَا عَٰكِفِينَ,19,320,NA,Meccan,6
3004,26,72,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ هَلْ يَسْمَعُونَكُمْ إِذْ تَدْعُونَ,19,320,NA,Meccan,5
3005,26,73,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَوْ يَنفَعُونَكُمْ أَوْ يَضُرُّونَ,19,320,NA,Meccan,4
3006,26,74,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ بَلْ وَجَدْنَآ ءَابَآءَنَا كَذَٰلِكَ يَفْعَلُونَ,19,320,NA,Meccan,6
3007,26,75,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ أَفَرَءَيْتُم مَّا كُنتُمْ تَعْبُدُونَ,19,320,NA,Meccan,5
3008,26,76,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَنتُمْ وَءَابَآؤُكُمُ ٱلْأَقْدَمُونَ,19,320,NA,Meccan,3
3009,26,77,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَإِنَّهُمْ عَدُوٌّۭ لِّىٓ إِلَّا رَبَّ ٱلْعَٰلَمِينَ,19,320,NA,Meccan,6
3010,26,78,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,ٱلَّذِى خَلَقَنِى فَهُوَ يَهْدِينِ,19,320,NA,Meccan,4
3011,26,79,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱلَّذِى هُوَ يُطْعِمُنِى وَيَسْقِينِ,19,320,NA,Meccan,4
3012,26,80,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِذَا مَرِضْتُ فَهُوَ يَشْفِينِ,19,320,NA,Meccan,4
3013,26,81,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱلَّذِى يُمِيتُنِى ثُمَّ يُحْيِينِ,19,320,NA,Meccan,4
3014,26,82,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱلَّذِىٓ أَطْمَعُ أَن يَغْفِرَ لِى خَطِيٓـَٔتِى يَوْمَ ٱلدِّينِ,19,320,NA,Meccan,8
3015,26,83,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,رَبِّ هَبْ لِى حُكْمًۭا وَأَلْحِقْنِى بِٱلصَّٰلِحِينَ,19,320,NA,Meccan,6
3016,26,84,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱجْعَل لِّى لِسَانَ صِدْقٍۢ فِى ٱلْءَاخِرِينَ,19,320,NA,Meccan,6
3017,26,85,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱجْعَلْنِى مِن وَرَثَةِ جَنَّةِ ٱلنَّعِيمِ,19,320,NA,Meccan,5
3018,26,86,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱغْفِرْ لِأَبِىٓ إِنَّهُۥ كَانَ مِنَ ٱلضَّآلِّينَ,19,320,NA,Meccan,6
3019,26,87,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَلَا تُخْزِنِى يَوْمَ يُبْعَثُونَ,19,320,NA,Meccan,4
3020,26,88,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,يَوْمَ لَا يَنفَعُ مَالٌۭ وَلَا بَنُونَ,19,320,NA,Meccan,6
3021,26,89,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِلَّا مَنْ أَتَى ٱللَّهَ بِقَلْبٍۢ سَلِيمٍۢ,19,320,NA,Meccan,6
3022,26,90,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَأُزْلِفَتِ ٱلْجَنَّةُ لِلْمُتَّقِينَ,19,320,NA,Meccan,3
3023,26,91,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَبُرِّزَتِ ٱلْجَحِيمُ لِلْغَاوِينَ,19,320,NA,Meccan,3
3024,26,92,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَقِيلَ لَهُمْ أَيْنَ مَا كُنتُمْ تَعْبُدُونَ,19,320,NA,Meccan,6
3025,26,93,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,مِن دُونِ ٱللَّهِ هَلْ يَنصُرُونَكُمْ أَوْ يَنتَصِرُونَ,19,320,NA,Meccan,7
3026,26,94,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَكُبْكِبُوا۟ فِيهَا هُمْ وَٱلْغَاوُۥنَ,19,320,NA,Meccan,4
3027,26,95,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَجُنُودُ إِبْلِيسَ أَجْمَعُونَ,19,320,NA,Meccan,3
3028,26,96,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ وَهُمْ فِيهَا يَخْتَصِمُونَ,19,320,NA,Meccan,4
3029,26,97,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,تَٱللَّهِ إِن كُنَّا لَفِى ضَلَٰلٍۢ مُّبِينٍ,19,320,NA,Meccan,6
3030,26,98,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ نُسَوِّيكُم بِرَبِّ ٱلْعَٰلَمِينَ,19,320,NA,Meccan,4
3031,26,99,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَضَلَّنَآ إِلَّا ٱلْمُجْرِمُونَ,19,320,NA,Meccan,4
3032,26,100,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَمَا لَنَا مِن شَٰفِعِينَ,19,320,NA,Meccan,4
3033,26,101,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَلَا صَدِيقٍ حَمِيمٍۢ,19,320,NA,Meccan,3
3034,26,102,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَلَوْ أَنَّ لَنَا كَرَّةًۭ فَنَكُونَ مِنَ ٱلْمُؤْمِنِينَ,19,320,NA,Meccan,7
3035,26,103,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,320,NA,Meccan,9
3036,26,104,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,19,320,NA,Meccan,5
3037,26,105,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,كَذَّبَتْ قَوْمُ نُوحٍ ٱلْمُرْسَلِينَ,19,321,NA,Meccan,4
3038,26,106,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ قَالَ لَهُمْ أَخُوهُمْ نُوحٌ أَلَا تَتَّقُونَ,19,321,NA,Meccan,7
3039,26,107,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنِّى لَكُمْ رَسُولٌ أَمِينٌۭ,19,321,NA,Meccan,4
3040,26,108,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,321,NA,Meccan,3
3041,26,109,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَسْـَٔلُكُمْ عَلَيْهِ مِنْ أَجْرٍ ۖ إِنْ أَجْرِىَ إِلَّا عَلَىٰ رَبِّ ٱلْعَٰلَمِينَ,19,321,NA,Meccan,12
3042,26,110,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,321,NA,Meccan,3
3043,26,111,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,۞ قَالُوٓا۟ أَنُؤْمِنُ لَكَ وَٱتَّبَعَكَ ٱلْأَرْذَلُونَ,19,321,NA,Meccan,6
3044,26,112,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ وَمَا عِلْمِى بِمَا كَانُوا۟ يَعْمَلُونَ,19,321,NA,Meccan,6
3045,26,113,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنْ حِسَابُهُمْ إِلَّا عَلَىٰ رَبِّى ۖ لَوْ تَشْعُرُونَ,19,321,NA,Meccan,8
3046,26,114,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَنَا۠ بِطَارِدِ ٱلْمُؤْمِنِينَ,19,321,NA,Meccan,4
3047,26,115,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنْ أَنَا۠ إِلَّا نَذِيرٌۭ مُّبِينٌۭ,19,321,NA,Meccan,5
3048,26,116,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ لَئِن لَّمْ تَنتَهِ يَٰنُوحُ لَتَكُونَنَّ مِنَ ٱلْمَرْجُومِينَ,19,321,NA,Meccan,8
3049,26,117,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ رَبِّ إِنَّ قَوْمِى كَذَّبُونِ,19,321,NA,Meccan,5
3050,26,118,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱفْتَحْ بَيْنِى وَبَيْنَهُمْ فَتْحًۭا وَنَجِّنِى وَمَن مَّعِىَ مِنَ ٱلْمُؤْمِنِينَ,19,321,NA,Meccan,9
3051,26,119,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَنجَيْنَٰهُ وَمَن مَّعَهُۥ فِى ٱلْفُلْكِ ٱلْمَشْحُونِ,19,321,NA,Meccan,6
3052,26,120,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,ثُمَّ أَغْرَقْنَا بَعْدُ ٱلْبَاقِينَ,19,321,NA,Meccan,4
3053,26,121,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,321,NA,Meccan,9
3054,26,122,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,19,321,NA,Meccan,5
3055,26,123,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,كَذَّبَتْ عَادٌ ٱلْمُرْسَلِينَ,19,322,NA,Meccan,3
3056,26,124,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ قَالَ لَهُمْ أَخُوهُمْ هُودٌ أَلَا تَتَّقُونَ,19,322,NA,Meccan,7
3057,26,125,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنِّى لَكُمْ رَسُولٌ أَمِينٌۭ,19,322,NA,Meccan,4
3058,26,126,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,322,NA,Meccan,3
3059,26,127,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَسْـَٔلُكُمْ عَلَيْهِ مِنْ أَجْرٍ ۖ إِنْ أَجْرِىَ إِلَّا عَلَىٰ رَبِّ ٱلْعَٰلَمِينَ,19,322,NA,Meccan,12
3060,26,128,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَتَبْنُونَ بِكُلِّ رِيعٍ ءَايَةًۭ تَعْبَثُونَ,19,322,NA,Meccan,5
3061,26,129,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَتَتَّخِذُونَ مَصَانِعَ لَعَلَّكُمْ تَخْلُدُونَ,19,322,NA,Meccan,4
3062,26,130,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِذَا بَطَشْتُم بَطَشْتُمْ جَبَّارِينَ,19,322,NA,Meccan,4
3063,26,131,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,322,NA,Meccan,3
3064,26,132,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَٱتَّقُوا۟ ٱلَّذِىٓ أَمَدَّكُم بِمَا تَعْلَمُونَ,19,322,NA,Meccan,5
3065,26,133,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَمَدَّكُم بِأَنْعَٰمٍۢ وَبَنِينَ,19,322,NA,Meccan,3
3066,26,134,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَجَنَّٰتٍۢ وَعُيُونٍ,19,322,NA,Meccan,2
3067,26,135,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنِّىٓ أَخَافُ عَلَيْكُمْ عَذَابَ يَوْمٍ عَظِيمٍۢ,19,322,NA,Meccan,6
3068,26,136,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ سَوَآءٌ عَلَيْنَآ أَوَعَظْتَ أَمْ لَمْ تَكُن مِّنَ ٱلْوَٰعِظِينَ,19,322,NA,Meccan,9
3069,26,137,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنْ هَٰذَآ إِلَّا خُلُقُ ٱلْأَوَّلِينَ,19,322,NA,Meccan,5
3070,26,138,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَا نَحْنُ بِمُعَذَّبِينَ,19,322,NA,Meccan,3
3071,26,139,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَكَذَّبُوهُ فَأَهْلَكْنَٰهُمْ ۗ إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,322,NA,Meccan,12
3072,26,140,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,19,322,NA,Meccan,5
3073,26,141,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,كَذَّبَتْ ثَمُودُ ٱلْمُرْسَلِينَ,19,323,NA,Meccan,3
3074,26,142,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ قَالَ لَهُمْ أَخُوهُمْ صَٰلِحٌ أَلَا تَتَّقُونَ,19,323,NA,Meccan,7
3075,26,143,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنِّى لَكُمْ رَسُولٌ أَمِينٌۭ,19,323,NA,Meccan,4
3076,26,144,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,323,NA,Meccan,3
3077,26,145,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَسْـَٔلُكُمْ عَلَيْهِ مِنْ أَجْرٍ ۖ إِنْ أَجْرِىَ إِلَّا عَلَىٰ رَبِّ ٱلْعَٰلَمِينَ,19,323,NA,Meccan,12
3078,26,146,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَتُتْرَكُونَ فِى مَا هَٰهُنَآ ءَامِنِينَ,19,323,NA,Meccan,5
3079,26,147,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فِى جَنَّٰتٍۢ وَعُيُونٍۢ,19,323,NA,Meccan,3
3080,26,148,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَزُرُوعٍۢ وَنَخْلٍۢ طَلْعُهَا هَضِيمٌۭ,19,323,NA,Meccan,4
3081,26,149,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَتَنْحِتُونَ مِنَ ٱلْجِبَالِ بُيُوتًۭا فَٰرِهِينَ,19,323,NA,Meccan,5
3082,26,150,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,323,NA,Meccan,3
3083,26,151,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَلَا تُطِيعُوٓا۟ أَمْرَ ٱلْمُسْرِفِينَ,19,323,NA,Meccan,4
3084,26,152,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,ٱلَّذِينَ يُفْسِدُونَ فِى ٱلْأَرْضِ وَلَا يُصْلِحُونَ,19,323,NA,Meccan,6
3085,26,153,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوٓا۟ إِنَّمَآ أَنتَ مِنَ ٱلْمُسَحَّرِينَ,19,323,NA,Meccan,5
3086,26,154,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,مَآ أَنتَ إِلَّا بَشَرٌۭ مِّثْلُنَا فَأْتِ بِـَٔايَةٍ إِن كُنتَ مِنَ ٱلصَّٰدِقِينَ,19,323,NA,Meccan,11
3087,26,155,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ هَٰذِهِۦ نَاقَةٌۭ لَّهَا شِرْبٌۭ وَلَكُمْ شِرْبُ يَوْمٍۢ مَّعْلُومٍۢ,19,323,NA,Meccan,9
3088,26,156,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَلَا تَمَسُّوهَا بِسُوٓءٍۢ فَيَأْخُذَكُمْ عَذَابُ يَوْمٍ عَظِيمٍۢ,19,323,NA,Meccan,7
3089,26,157,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَعَقَرُوهَا فَأَصْبَحُوا۟ نَٰدِمِينَ,19,323,NA,Meccan,3
3090,26,158,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَأَخَذَهُمُ ٱلْعَذَابُ ۗ إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,323,NA,Meccan,12
3091,26,159,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَإِنَّ رَبَّكَ لَهُوَ ٱلْعَزِيزُ ٱلرَّحِيمُ,19,323,NA,Meccan,5
3092,26,160,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,كَذَّبَتْ قَوْمُ لُوطٍ ٱلْمُرْسَلِينَ,19,324,NA,Meccan,4
3093,26,161,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِذْ قَالَ لَهُمْ أَخُوهُمْ لُوطٌ أَلَا تَتَّقُونَ,19,324,NA,Meccan,7
3094,26,162,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنِّى لَكُمْ رَسُولٌ أَمِينٌۭ,19,324,NA,Meccan,4
3095,26,163,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَٱتَّقُوا۟ ٱللَّهَ وَأَطِيعُونِ,19,324,NA,Meccan,3
3096,26,164,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَمَآ أَسْـَٔلُكُمْ عَلَيْهِ مِنْ أَجْرٍ ۖ إِنْ أَجْرِىَ إِلَّا عَلَىٰ رَبِّ ٱلْعَٰلَمِينَ,19,324,NA,Meccan,12
3097,26,165,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,أَتَأْتُونَ ٱلذُّكْرَانَ مِنَ ٱلْعَٰلَمِينَ,19,324,NA,Meccan,4
3098,26,166,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَتَذَرُونَ مَا خَلَقَ لَكُمْ رَبُّكُم مِّنْ أَزْوَٰجِكُم ۚ بَلْ أَنتُمْ قَوْمٌ عَادُونَ,19,324,NA,Meccan,12
3099,26,167,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالُوا۟ لَئِن لَّمْ تَنتَهِ يَٰلُوطُ لَتَكُونَنَّ مِنَ ٱلْمُخْرَجِينَ,19,324,NA,Meccan,8
3100,26,168,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,قَالَ إِنِّى لِعَمَلِكُم مِّنَ ٱلْقَالِينَ,19,324,NA,Meccan,5
3101,26,169,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,رَبِّ نَجِّنِى وَأَهْلِى مِمَّا يَعْمَلُونَ,19,324,NA,Meccan,5
3102,26,170,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,فَنَجَّيْنَٰهُ وَأَهْلَهُۥٓ أَجْمَعِينَ,19,324,NA,Meccan,3
3103,26,171,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِلَّا عَجُوزًۭا فِى ٱلْغَٰبِرِينَ,19,324,NA,Meccan,4
3104,26,172,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,ثُمَّ دَمَّرْنَا ٱلْءَاخَرِينَ,19,324,NA,Meccan,3
3105,26,173,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,وَأَمْطَرْنَا عَلَيْهِم مَّطَرًۭا ۖ فَسَآءَ مَطَرُ ٱلْمُنذَرِينَ,19,324,NA,Meccan,7
3106,26,174,Ash-Shu'ara,ٱلشُّعَرَاء,aš-Šuʿarāʾ,إِنَّ فِى ذَٰلِكَ لَءَايَةًۭ ۖ وَمَا كَانَ أَكْثَرُهُم مُّؤْمِنِينَ,19,324,NA,Meccan,9
