ayah_no_quran,surah_no,ayah_no_surah,tafsir,arabic,text
2088,17,59,jalalayn,وَمَا مَنَعَنَآ أَن نُّرْسِلَ بِٱلآيَاتِ إِلاَّ أَن كَذَّبَ بِهَا ٱلأَوَّلُونَ وَآتَيْنَا ثَمُودَ ٱلنَّاقَةَ مُبْصِرَةً فَظَلَمُواْ بِهَا وَمَا نُرْسِلُ بِٱلآيَاتِ إِلاَّ تَخْوِيفاً,Nothing prevented Us from sending the signs requested by the people of Mecca except that the ancients denied them when We sent such signs and so We destroyed them if We were to send them to these people of Mecca they would deny them and would thus deserve destruction. However We have judged that they be given respite so that the mission of Muhammad (s) be completed. And We gave Thamūd the she-camel as a sign that was apparent one that was clear and evident but they wronged they disbelieved it and were therefore destroyed. And We do not send signs miracles except for deterrence to servants so that they might believe.
2089,17,60,jalalayn,وَإِذْ قُلْنَا لَكَ إِنَّ رَبَّكَ أَحَاطَ بِٱلنَّاسِ وَمَا جَعَلْنَا ٱلرُّءْيَا ٱلَّتِي أَرَيْنَاكَ إِلاَّ فِتْنَةً لِّلنَّاسِ وَٱلشَّجَرَةَ ٱلْمَلْعُونَةَ فِي ٱلقُرْآنِ وَنُخَوِّفُهُمْ فَمَا يَزِيدُهُمْ إِلاَّ طُغْيَاناً كَبِيراً,And remember when We said to you ‘Truly your Lord encompasses mankind’ in knowledge and power over them such that they are within His grasp so deliver the Message to them and do not fear anyone because God will protect you from them. And We did not appoint the vision that We showed you before your very eyes during the Night Journey except as a test for people for the people of Mecca — since they denied it and some of them even apostatised when he the Prophet informed them of it — and likewise the tree cursed in the Qur’ān namely the tree called Zaqqūm Q.3762ff that issues from the very root of the Blazing Fire of Hell; We made it a test for them because they said ‘Fire consumes trees so how can it cause it the Zaqqūm tree to issue forth?’. And We seek to deter them with it but it Our deterrence only increases them in gross insolence.
2090,17,61,jalalayn,وَإِذْ قُلْنَا لِلْمَلاۤئِكَةِ ٱسْجُدُواْ لأَدَمَ فَسَجَدُواْ إَلاَّ إِبْلِيسَ قَالَ أَأَسْجُدُ لِمَنْ خَلَقْتَ طِيناً,And mention when We said to the angels ‘Prostrate yourselves before Adam’ a prostration of salutation by inclining oneself and so they all prostrated themselves except Iblīs he said ‘Shall I prostrate myself before one whom You have created from clay?’ tīnan is in the accusative because the operator of the oblique min ‘of’ has been omitted in other words it would normally be min tīnin.
2091,17,62,jalalayn,قَالَ أَرَأَيْتَكَ هَـٰذَا ٱلَّذِي كَرَّمْتَ عَلَيَّ لَئِنْ أَخَّرْتَنِ إِلَىٰ يَوْمِ ٱلْقِيَامَةِ لأَحْتَنِكَنَّ ذُرِّيَّتَهُ إِلاَّ قَلِيلاً,Said he ‘Do You see — in other words inform me this one whom You have honoured whom You have preferred above me? by commanding that prostration should be made before him when ‘I am better than him. You created me from fire while him You created from clay’ Q. 712. If la-in the lām is for oaths You defer me to the Day of Resurrection I shall verily eradicate his seed by leading them astray all save a few’ of them of those whom You have given divine protection.
2092,17,63,jalalayn,قَالَ ٱذْهَبْ فَمَن تَبِعَكَ مِنْهُمْ فَإِنَّ جَهَنَّمَ جَزَآؤُكُمْ جَزَاءً مَّوْفُوراً,Said He exalted be He to him Iblīs ‘Begone deferred to the time of the First Blast of the Trumpet. Whoever of them follows you — indeed Hell shall be your requital both yours and theirs a requital that is indeed ample sufficient and complete.
2093,17,64,jalalayn,وَٱسْتَفْزِزْ مَنِ ٱسْتَطَعْتَ مِنْهُمْ بِصَوْتِكَ وَأَجْلِبْ عَلَيْهِم بِخَيْلِكَ وَرَجِلِكَ وَشَارِكْهُمْ فِي ٱلأَمْوَالِ وَٱلأَوْلادِ وَعِدْهُمْ وَمَا يَعِدُهُمُ ٱلشَّيْطَانُ إِلاَّ غُرُوراً,And tempt dupe whomever of them you can with your voice by your calling them with songs and pipes and with every invitation to acts of disobedience; and rally incite against them your cavalry and your infantry namely those who ride and walk in acts of disobedience and share with them in wealth that is illicit such as usury and extortion and children from acts of adultery and make promises to them’ to the effect that there will not be any resurrection or requital. And Satan promises them thereby nothing but delusion falsehood.
2094,17,65,jalalayn,إِنَّ عِبَادِي لَيْسَ لَكَ عَلَيْهِمْ سُلْطَانٌ وَكَفَىٰ بِرَبِّكَ وَكِيلاً,‘Truly as for My servants the believers you shall have no warrant’ no sway or ability. And Your Lord suffices as a guardian as a protector for them against you.
2095,17,66,jalalayn,رَّبُّكُمُ ٱلَّذِي يُزْجِي لَكُمُ ٱلْفُلْكَ فِي ٱلْبَحْرِ لِتَبْتَغُواْ مِن فَضْلِهِ إِنَّهُ كَانَ بِكُمْ رَحِيماً,Your Lord is He Who drives for you the ships upon the sea that you may seek of His bounty exalted be He through engaging in commerce. Truly He is ever Merciful towards you by disposing these ships for you.
2096,17,67,jalalayn,وَإِذَا مَسَّكُمُ ٱلْضُّرُّ فِي ٱلْبَحْرِ ضَلَّ مَن تَدْعُونَ إِلاَّ إِيَّاهُ فَلَمَّا نَجَّاكُمْ إِلَى ٱلْبَرِّ أَعْرَضْتُمْ وَكَانَ ٱلإِنْسَانُ كَفُوراً,And when distress difficulty befalls you at sea such as fear of drowning those whom you are wont to invoke are no longer present those whom you are wont to worship of gods are no longer present and so you do not call on them — except Him exalted be He for on Him alone you do call because you are suffering a distress which only He can remove. But when He delivers you from drowning and brings you to land you are rejective of God’s Oneness for man is ever ungrateful ever denying God’s graces.
2097,17,68,jalalayn,أَفَأَمِنْتُمْ أَن يَخْسِفَ بِكُمْ جَانِبَ ٱلْبَرِّ أَوْ يُرْسِلَ عَلَيْكُمْ حَاصِباً ثُمَّ لاَ تَجِدُواْ لَكُمْ وَكِيلاً,Do you feel secure that He will not cause a side of the earth in other words the land to swallow you up as He did with Korah Qārūn or unleash upon you a squall of pebbles? that is hurl a shower of stones upon you as He did with the people of Lot. Then you will not find for yourselves any guardian any protector from Him.
2098,17,69,jalalayn,أَمْ أَمِنْتُمْ أَن يُعِيدَكُمْ فِيهِ تَارَةً أُخْرَىٰ فَيُرْسِلَ عَلَيْكُمْ قَاصِفاً مِّنَ ٱلرِّيحِ فَيُغْرِقَكُم بِمَا كَفَرْتُمْ ثُمَّ لاَ تَجِدُواْ لَكُمْ عَلَيْنَا بِهِ تَبِيعاً,Or do you feel secure that He will not return you to it that is to the sea a second time and unleash upon you a shattering gale that is a violent wind that shatters everything in its path to destroy your ship and drown you for your ungratefulness? And then you will not find for yourselves any redresser of this against Us any helper or advocate to demand restitution from Us for what We will have done to you.
2099,17,70,jalalayn,وَلَقَدْ كَرَّمْنَا بَنِي ءَادَمَ وَحَمَلْنَاهُمْ فِي ٱلْبَرِّ وَٱلْبَحْرِ وَرَزَقْنَاهُمْ مِّنَ ٱلطَّيِّبَاتِ وَفَضَّلْنَاهُمْ عَلَىٰ كَثِيرٍ مِّمَّنْ خَلَقْنَا تَفْضِيلاً,And verily We have honoured We have preferred the Children of Adam above other creation by giving them knowledge speech and their being a creation of even proportions amongst other things including their means of purification after death and carried them over land on animal-back and sea in ships and provided them with good things and We have preferred them above many of those whom We created such as livestock and wild animals with a marked preferment the min of mimman ‘of those whom’ has the sense of mā ‘of what’ or something close to it and includes the angels the purpose being to give preference to the angelic genus; there is no requirement to give explicit preference to the individuals of this category of being since they angels are superior to mankind excepting the prophets.
2100,17,71,jalalayn,يَوْمَ نَدْعُواْ كُلَّ أُنَاسٍ بِإِمَامِهِمْ فَمَنْ أُوتِيَ كِتَابَهُ بِيَمِينِهِ فَأُوْلَـٰئِكَ يَقْرَؤونَ كِتَابَهُمْ وَلاَ يُظْلَمُونَ فَتِيلاً,Mention the day when We shall summon all men with their leader their prophet and it will be said ‘O community of so-and-so’; or it bi-imāmihim means ‘with the record of their deeds’ in which case it will be said ‘O one of good deeds O one of evil deeds!’ this is on the Day of Resurrection. And whoever from among them is given his book in his right hand these being the fortunate those possessors of understanding in this world — those will read their book and they will not be wronged they will not be diminished of their deeds so much as a single date-thread.
2101,17,72,jalalayn,وَمَن كَانَ فِي هَـٰذِهِ أَعْمَىٰ فَهُوَ فِي ٱلآخِرَةِ أَعْمَىٰ وَأَضَلُّ سَبِيلاً,And whoever has been in this that is in this world blind to the truth will be blind in the Hereafter to the path of salvation and the reciting of the Qur’ān and even further astray from the right way more removed from the road that leads to it.
2102,17,73,jalalayn,وَإِن كَادُواْ لَيَفْتِنُونَكَ عَنِ ٱلَّذِي أَوْحَيْنَآ إِلَيْكَ لِتَفْتَرِيَ عَلَيْنَا غَيْرَهُ وَإِذاً لاَّتَّخَذُوكَ خَلِيلاً,The following was revealed regarding the tribe of Thaqīf for they had asked him the Prophet s to declare their valley inviolable and implored him to grant them this request And indeed wa-in the particle in is softened they were about to they nearly did beguile you away from that which We revealed to you so that you might invent against Us something other than that; and then had you done that they would have taken you as a friend.
2103,17,74,jalalayn,وَلَوْلاَ أَن ثَبَّتْنَاكَ لَقَدْ كِدتَّ تَرْكَنُ إِلَيْهِمْ شَيْئاً قَلِيلاً,And if We had not made you stand firm upon the Truth by way of divine protection ‘isma certainly you might have you nearly inclined to them a little because of the extent of their deception and their persistence. This statement is explicit about the fact that the Prophet s neither inclined nor came close to doing so.
2104,17,75,jalalayn,إِذاً لأذَقْنَاكَ ضِعْفَ ٱلْحَيَاةِ وَضِعْفَ ٱلْمَمَاتِ ثُمَّ لاَ تَجِدُ لَكَ عَلَيْنَا نَصِيراً,Then had you inclined We would have surely made you taste a double chastisement in life and a double chastisement upon death in other words twice the chastisement that any other person would receive in this world and the Hereafter. Then you would not have found for yourself any helper against Us anyone to shield you from it.
2105,17,76,jalalayn,وَإِن كَادُواْ لَيَسْتَفِزُّونَكَ مِنَ ٱلأَرْضِ لِيُخْرِجوكَ مِنْهَا وَإِذاً لاَّ يَلْبَثُونَ خِلافَكَ إِلاَّ قَلِيلاً,When the Jews said to him ‘If you are a prophet then make your way to Syria for it is the land of prophets’ the following was revealed And indeed wa-in the particle in is softened they were about to provoke you out of the land the land of Medina to expel you from it but then had they expelled you they would not have remained after you in it except a little while after which they would have been destroyed.
2106,17,77,jalalayn,سُنَّةَ مَن قَدْ أَرْسَلْنَا قَبْلَكَ مِن رُّسُلِنَا وَلاَ تَجِدُ لِسُنَّتِنَا تَحْوِيلاً,That is the way in the case of those whom We have sent from among Our messengers before you that is to say that is Our way of dealing with them their enemies destroying those who expel them Our messengers. And as regards Our established way you will not find any change any alternative manner.
2107,17,78,jalalayn,أَقِمِ ٱلصَّلاَةَ لِدُلُوكِ ٱلشَّمْسِ إِلَىٰ غَسَقِ ٱلَّيلِ وَقُرْآنَ ٱلْفَجْرِ إِنَّ قُرْآنَ ٱلْفَجْرِ كَانَ مَشْهُوداً,Establish prayer from the sun’s decline that is from after midday until the dark of night until its darkness has fallen in other words perform prayers at noon in the afternoon at sunset and at night and the recital of the Qur’ān at dawn the morning prayer. Verily the dawn recital is ever witnessed it is witnessed by the angels of the night and the angels of the day.
2108,17,79,jalalayn,وَمِنَ ٱلْلَّيْلِ فَتَهَجَّدْ بِهِ نَافِلَةً لَّكَ عَسَىٰ أَن يَبْعَثَكَ رَبُّكَ مَقَاماً مَّحْمُوداً,And for a part of the night keep vigil perform prayer therewith with the Qur’ān as a supererogatory devotion for you as an extra obligation for you to the exclusion of your community or it means as extra merit for you on top of the other obligatory prayers. It may be that your Lord will raise you to establish you in the Hereafter in a praiseworthy station one for which the first and last of mankind will praise you — and this is the station of intercession which will take place during the passing of the Final Judgement.
2109,17,80,jalalayn,وَقُل رَّبِّ أَدْخِلْنِي مُدْخَلَ صِدْقٍ وَأَخْرِجْنِي مُخْرَجَ صِدْقٍ وَٱجْعَل لِّي مِن لَّدُنْكَ سُلْطَاناً نَّصِيراً,And say ‘My Lord make me enter Medina with a veritable entrance an entrance that is satisfying one in which I do not see what I dislike and bring me out of Mecca with a veritable departure a departure such that my heart will not care to turn back to look at it yearningly. And grant me from Yourself a favourable authority’ grant me strength with which You render me victorious over Your enemies.
2110,17,81,jalalayn,وَقُلْ جَآءَ ٱلْحَقُّ وَزَهَقَ ٱلْبَاطِلُ إِنَّ ٱلْبَاطِلَ كَانَ زَهُوقاً,And say upon your entry into Mecca ‘The Truth Islam has come and falsehood has vanished away disbelief has come to nothing. Truly falsehood is ever bound to vanish’ ever bound to fade away and disappear. Indeed the Prophet s entered it Mecca and there were 360 idols which had been placed around the Sacred House sc. the Ka‘ba. He the Prophet then set about thrusting at them with a stick he was carrying saying those words until they had all been toppled as reported by the two Shaykhs Bukhārī and Muslim.
2111,17,82,jalalayn,وَنُنَزِّلُ مِنَ ٱلْقُرْآنِ مَا هُوَ شِفَآءٌ وَرَحْمَةٌ لِّلْمُؤْمِنِينَ وَلاَ يَزِيدُ ٱلظَّالِمِينَ إَلاَّ خَسَاراً,And We reveal of min here is explicative the Qur’ān that which is a cure from error and a mercy for believers thereby; though it only increases the evildoers the disbelievers in loss because of their disbelief in it.
2112,17,83,jalalayn,وَإِذَآ أَنْعَمْنَا عَلَى ٱلإنْسَانِ أَعْرَضَ وَنَأَى بِجَانِبِهِ وَإِذَا مَسَّهُ ٱلشَّرُّ كَانَ يَئُوساً,And when We are gracious to man the disbelieving man he is disregardful of giving thanks and turns aside turning his face away in arrogance; but when an ill such as poverty or hardship befalls him he is in despair despondent of God’s mercy.
2113,17,84,jalalayn,قُلْ كُلٌّ يَعْمَلُ عَلَىٰ شَاكِلَتِهِ فَرَبُّكُمْ أَعْلَمُ بِمَنْ هُوَ أَهْدَىٰ سَبِيلاً,Say ‘Everyone including us and you acts according to his own character his own manner of conduct and your Lord knows best who is better guided as to the way’ as to the path he follows and He will reward him accordingly.
2114,17,85,jalalayn,وَيَسْأَلُونَكَ عَنِ ٱلرُّوحِ قُلِ ٱلرُّوحُ مِنْ أَمْرِ رَبِّي وَمَآ أُوتِيتُم مِّنَ ٱلْعِلْمِ إِلاَّ قَلِيلاً,And they will question you that is the Jews concerning the Spirit from which the body receives life. Say to them ‘The Spirit is of the command of my Lord that is it belongs to His knowledge about which you know not. And of knowledge you have not been given except a little’ relative to His knowledge exalted be He.
2115,17,86,jalalayn,وَلَئِن شِئْنَا لَنَذْهَبَنَّ بِٱلَّذِي أَوْحَيْنَا إِلَيْكَ ثُمَّ لاَ تَجِدُ لَكَ بِهِ عَلَيْنَا وَكِيلاً,And if la-in the lām is for oaths We willed We could take away what We have revealed to you in other words take away the Qur’ān by erasing it from the hearts of men and from the written copies. Then you would not find in respect thereof any guardian for yourself against Us;
2116,17,87,jalalayn,إِلاَّ رَحْمَةً مِّن رَّبِّكَ إِنَّ فَضْلَهُ كَانَ عَلَيْكَ كَبِيراً,it is only — but We have let it remain — as a mercy from your Lord. Truly His favour to you is ever great tremendous for He has revealed to you and granted you the praiseworthy station as well as other kinds of merit.
2117,17,88,jalalayn,قُل لَّئِنِ ٱجْتَمَعَتِ ٱلإِنْسُ وَٱلْجِنُّ عَلَىٰ أَن يَأْتُواْ بِمِثْلِ هَـٰذَا ٱلْقُرْآنِ لاَ يَأْتُونَ بِمِثْلِهِ وَلَوْ كَانَ بَعْضُهُمْ لِبَعْضٍ ظَهِيراً,Say ‘Verily should mankind and jinn come together to produce the like of this Qur’ān the like thereof in terms of clarity and rhetorical excellence they could not produce the like thereof even if they backed one another’ even if one was an assistant of the other. This verse was revealed as a refutation of their statement ‘If we wish we can speak the like of this’ Q. 831.
2118,17,89,jalalayn,وَلَقَدْ صَرَّفْنَا لِلنَّاسِ فِي هَـٰذَا ٱلْقُرْآنِ مِن كُلِّ مَثَلٍ فَأَبَىٰ أَكْثَرُ ٱلنَّاسِ إِلاَّ كُفُوراً,And verily We have dispensed explained for people in this Qur’ān every kind of similitude min kulli mathalin this is an adjectival qualification of an omitted clause in other words ‘We have dispensed a similitude from every kind of similitude’ that they might be admonished; but most people that is the people of Mecca insist on disbelieving on denying the truth.
2119,17,90,jalalayn,وَقَالُواْ لَن نُّؤْمِنَ لَكَ حَتَّىٰ تَفْجُرَ لَنَا مِنَ ٱلأَرْضِ يَنْبُوعاً,And they say wa-qālū is a supplement to abā illā ‘insist on’ ‘We will not believe you until you make gush forth for us from the ground a spring from which water issues forth;
2120,17,91,jalalayn,أَوْ تَكُونَ لَكَ جَنَّةٌ مِّن نَّخِيلٍ وَعِنَبٍ فَتُفَجِّرَ ٱلأَنْهَارَ خِلالَهَا تَفْجِيراً,or until you come to have a garden an orchard of date-palms and vines and cause streams to gush forth therein in the midst of these abundantly;
2121,17,92,jalalayn,أَوْ تُسْقِطَ ٱلسَّمَآءَ كَمَا زَعَمْتَ عَلَيْنَا كِسَفاً أَوْ تَأْتِيَ بِٱللَّهِ وَٱلْمَلاۤئِكَةِ قَبِيلاً,or until you cause the heaven to fall upon us as you assert in pieces or bring God and the angels right in front of us face to face with us before our very eyes so that we might see them;
2122,17,93,jalalayn,أَوْ يَكُونَ لَكَ بَيْتٌ مِّن زُخْرُفٍ أَوْ تَرْقَىٰ فِي ٱلسَّمَآءِ وَلَن نُّؤْمِنَ لِرُقِيِّكَ حَتَّى تُنَزِّلَ عَلَيْنَا كِتَاباً نَّقْرَؤُهُ قُلْ سُبْحَانَ رَبِّي هَلْ كُنتُ إِلاَّ بَشَراً رَّسُولاً,or until you come to have a house adorned with gold or ascend into the heaven upon a ladder and even then we will not believe your ascension if you were to ascend into it until you bring down for us therefrom a book in which is confirmed your truthfulness that we may read’. Say to them ‘Glory be to my Lord — this is a statement of amazement — Am I anything but a human a messenger from God?’ in other words I am like all other messengers for they never brought any signs except by God’s leave.
2123,17,94,jalalayn,وَمَا مَنَعَ ٱلنَّاسَ أَن يُؤْمِنُوۤاْ إِذْ جَآءَهُمُ ٱلْهُدَىٰ إِلاَّ أَن قَالُوۤاْ أَبَعَثَ ٱللَّهُ بَشَراً رَّسُولاً,And nothing prevented mankind from believing when guidance came to them but that they said that is except their saying in denial ‘Has God sent a human as a messenger from Him?’ instead of sending an angel.
2124,17,95,jalalayn,قُل لَوْ كَانَ فِي ٱلأَرْضِ مَلاۤئِكَةٌ يَمْشُونَ مُطْمَئِنِّينَ لَنَزَّلْنَا عَلَيْهِم مِّنَ ٱلسَّمَآءِ مَلَكاً رَّسُولاً,Say to them ‘Had there been in the earth instead of humans angels walking and living secure We would have sent down to them from the heaven an angel as Messenger’ for when a messenger is sent to a people he is always of their kind so that they are able to speak to him and understand from him his message.
2125,17,96,jalalayn,قُلْ كَفَىٰ بِٱللَّهِ شَهِيداً بَيْنِي وَبَيْنَكُمْ إِنَّهُ كَانَ بِعِبَادِهِ خَبِيراً بَصِيراً,Say ‘God suffices as a witness between me and you of my sincerity. Truly He is Aware Seer of His servants’ Knower of what they hide and what they manifest.
2126,17,97,jalalayn,وَمَن يَهْدِ ٱللَّهُ فَهُوَ ٱلْمُهْتَدِ وَمَن يُضْلِلْ فَلَن تَجِدَ لَهُمْ أَوْلِيَآءَ مِن دُونِهِ وَنَحْشُرُهُمْ يَوْمَ ٱلْقِيَامَةِ عَلَىٰ وُجُوهِهِمْ عُمْياً وَبُكْماً وَصُمّاً مَّأْوَاهُمْ جَهَنَّمُ كُلَّمَا خَبَتْ زِدْنَاهُمْ سَعِيراً,And he whom God guides is rightly guided and he whom He sends astray — you will not find for them any guardians to guide them besides Him. And We shall assemble them on the Day of Resurrection walking on their faces blind dumb and deaf; their abode shall be Hell — whenever it abates whenever its flames subside We shall intensify for them the blaze the flame and its burning.
2127,17,98,jalalayn,ذَلِكَ جَزَآؤُهُم بِأَنَّهُمْ كَفَرُواْ بِآيَاتِنَا وَقَالُواْ أَءِذَا كُنَّا عِظَاماً وَرُفَاتاً أَءِنَّا لَمَبْعُوثُونَ خَلْقاً جَدِيداً,That is their requital because they disbelieved Our signs and said in denial of the Resurrection ‘What when we are bones and fragments shall we really be raised in a new creation?’
2128,17,99,jalalayn,أَوَلَمْ يَرَوْاْ أَنَّ ٱللَّهَ ٱلَّذِي خَلَقَ ٱلسَّمَٰوَٰتِ وَٱلأَرْضَ قَادِرٌ عَلَىٰ أَن يَخْلُقَ مِثْلَهُمْ وَجَعَلَ لَهُمْ أَجَلاً لاَّ رَيْبَ فِيهِ فَأَبَىٰ ٱلظَّالِمُونَ إِلاَّ كُفُوراً,Have they not seen realised that God He Who created the heavens and the earth with all their immensity has the power to create the like of them? that is the like of these human beings especially given their smallness? He has appointed for them a term until the time for their death and resurrection whereof is no doubt; yet the wrongdoers insist on disbelief on denial of such a term.
2129,17,100,jalalayn,قُل لَّوْ أَنْتُمْ تَمْلِكُونَ خَزَآئِنَ رَحْمَةِ رَبِّي إِذاً لأمْسَكْتُمْ خَشْيَةَ ٱلإِنْفَاقِ وَكَانَ ٱلإنْسَانُ قَتُوراً,Say to them ‘If you possessed the treasuries of my Lord’s mercy those treasuries of provision and rain you would surely withhold them you would stint for fear of spending fearing that they would be depleted if one spent from them and that you would then become impoverished; and man is ever niggardly’.
2130,17,101,jalalayn,وَلَقَدْ آتَيْنَا مُوسَىٰ تِسْعَ آيَاتٍ بَيِّنَاتٍ فَسْئَلْ بَنِي إِسْرَائِيلَ إِذْ جَآءَهُمْ فَقَالَ لَهُ فِرْعَونُ إِنِّي لأَظُنُّكَ يٰمُوسَىٰ مَسْحُوراً,And verily We gave Moses nine manifest signs clear signs namely those of the hand the staff the flood the locusts the lice the frogs the blood and the obliteration of their possessions cf. Q. 1088 the years of dearth and scarcity of fruits cf. Q. 7130. Ask O Muhammad (s) the Children of Israel about this a rhetorical question meant as an affirmation for the idolaters of your sincerity; or it means that We said to him Muhammad (s) ‘Ask’; a variant reading has the past tense fa-sā’ala ‘and he asked’ when he came to them Pharaoh said to him ‘O Moses I truly think that you are bewitched’ duped your mind deceived.
2131,17,102,jalalayn,قَالَ لَقَدْ عَلِمْتَ مَآ أَنزَلَ هَـٰؤُلاۤءِ إِلاَّ رَبُّ ٱلسَّمَٰوَٰتِ وَٱلأَرْضِ بَصَآئِرَ وَإِنِّي لأَظُنُّكَ يٰفِرْعَونُ مَثْبُوراً,He Moses said ‘Indeed you know that none revealed these signs except the Lord of the heavens and the earth as proofs lessons; however you are being stubborn a variant reading for ‘alimta ‘you know’ has ‘alimtu ‘I know’; and I truly think that you O Pharaoh are doomed’ that you will be destroyed — or it mathbūran means that Pharaoh has been turned away from all deeds that are good.
2132,17,103,jalalayn,فَأَرَادَ أَن يَسْتَفِزَّهُم مِّنَ ٱلأَرْضِ فَأَغْرَقْنَاهُ وَمَن مَّعَهُ جَمِيعاً,And he Pharaoh desired to scare them to expel Moses and his people from the land the land of Egypt; so We drowned him and those with him all together.
2133,17,104,jalalayn,وَقُلْنَا مِن بَعْدِهِ لِبَنِي إِسْرَائِيلَ ٱسْكُنُواْ ٱلأَرْضَ فَإِذَا جَآءَ وَعْدُ ٱلآخِرَةِ جِئْنَا بِكُمْ لَفِيفاً,And after him We said to the Children of Israel ‘Dwell in the land; but when the promise of the Hereafter namely the Hour comes to pass We shall bring you gathered in mixed company’ all together you and them.
2134,17,105,jalalayn,وَبِٱلْحَقِّ أَنْزَلْنَاهُ وَبِٱلْحَقِّ نَزَلَ وَمَآ أَرْسَلْنَاكَ إِلاَّ مُبَشِّراً وَنَذِيراً,With the truth have We revealed it that is the Qur’ān and with the truth it comprises has it been revealed in the way it has unaffected by any alterations; and We have not sent you O Muhammad (s) except as a bearer of good tidings of Paradise for those who believe and as a warner of the Fire for those who disbelieve.
2135,17,106,jalalayn,وَقُرْآناً فَرَقْنَاهُ لِتَقْرَأَهُ عَلَى ٱلنَّاسِ عَلَىٰ مُكْثٍ وَنَزَّلْنَاهُ تَنْزِيلاً,And it is a Qur’ān qur’ānan is in the accusative because of the verb governing it which is the following that We have divided that We have revealed in portions over 20 or 23 years that you may recite it to mankind at intervals gradually and with deliberateness so that they are able to comprehend it and We have revealed it by successive revelation one part after another according to what is best for mankind.
2136,17,107,jalalayn,قُلْ آمِنُواْ بِهِ أَوْ لاَ تُؤْمِنُوۤاْ إِنَّ ٱلَّذِينَ أُوتُواْ ٱلْعِلْمَ مِن قَبْلِهِ إِذَا يُتْلَىٰ عَلَيْهِمْ يَخِرُّونَ لِلأَذْقَانِ سُجَّداً,Say to the disbelievers of Mecca ‘Believe in it or do not believe as a threat to them; indeed those who were given knowledge before it before its revelation namely the believers from among the People of the Scripture when it is recited to them fall down in prostration on their faces
2137,17,108,jalalayn,وَيَقُولُونَ سُبْحَانَ رَبِّنَآ إِن كَانَ وَعْدُ رَبِّنَا لَمَفْعُولاً,and say “Glory be to our Lord exalting Him above the claim that His promise of sending a prophet had not been fulfilled. Indeed in softened Our Lord’s promise of its the Qur’ān’s revelation and the sending of the Prophet s is bound to be fulfilled”.
2138,17,109,jalalayn,وَيَخِرُّونَ لِلأَذْقَانِ يَبْكُونَ وَيَزِيدُهُمْ خُشُوعاً,And they fall down on their faces weeping yabkūna is a supplement to yakhirrūna ‘they fall down’ also containing an adjectival qualification of those falling down; and it the Qur’ān increases them in humility’ in humbleness before God.
2139,17,110,jalalayn,قُلِ ٱدْعُواْ ٱللَّهَ أَوِ ٱدْعُواْ ٱلرَّحْمَـٰنَ أَيّاً مَّا تَدْعُواْ فَلَهُ ٱلأَسْمَآءَ ٱلْحُسْنَىٰ وَلاَ تَجْهَرْ بِصَلاَتِكَ وَلاَ تُخَافِتْ بِهَا وَٱبْتَغِ بَيْنَ ذٰلِكَ سَبِيلاً,The Prophet s would often say ‘O God O Compassionate One’. So they said ‘He Muhammad (s) forbids us to worship more than one god and yet he calls upon another god together with Him God’. The following was then revealed Say to them ‘Invoke God or invoke the Compassionate One that is to say invoke Him by either of these Names or call upon Him by saying ‘O God! O Compassionate One!’ whichever ayyan is conditional; mā is extra in other words whichever of these two Names you invoke is beautiful — this predicate ‘beautiful’ is indicated by the following statement to Him to the One called by these two Names belong the Most Beautiful Names’ these two Names being from among them; and they the other Names are the following as mentioned in hadīth God there is no god except Him the Compassionate the Merciful the King the Holy the Peace the Securer the Controller the Mighty the Compeller the Sublime the Creator the Maker out of nothing the Fashioner the ever Forgiving the Almighty the Bestower the Provider the Deliverer the Knower the Seizer the Extender the Lowerer the Raiser the Glorifier the Abaser the Hearer the Seer the Arbiter the Just the Subtle the Aware the Forbearing the Tremendous the Forgiver the Thankful the High the Great the Preserver the Conserver the Reckoner the Majestic the Generous the Watcher the Responsive the Embracing the Wise the Loving the Glorious the Resurrector the Witnessing the Truth the Guardian the Strong the Firm the Patron the Praiseworthy the Numberer the Initiator the Restorer the Life-giver the Death-maker the Living the Eternal Sustainer the Originator the Magnificent the One the Single the Everlasting Refuge the Powerful the Omnipotent the Advancer the Deferrer the First the Last the Outward the Inward the Ruler Exalted the Benign the Relenting the Avenger the Pardoning the Gentle Master of the Kingdom One of Majesty and Munificence the Equitable the Gatherer the Independent the Availing the Restrainer the Harming the Benefactor the Light the Guiding the Innovator the Enduring the Inheritor the Reasonable the Patient as reported by al-Tirmidhī. God exalted be He says And do not be loud in your prayer when you recite the Qur’ān therein lest the idolaters hear you and curse you as well as the Qur’ān and the One Who has revealed it; nor be silent do not murmur therein so that your companions might be able to hear it and benefit therefrom; but seek between that loudness and silence a middle way.
